result/io_traces.ns826.oracleGeneral.zst S3FIFO cache size   193535, 2800000 req, miss ratio 0.7318, byte miss ratio 0.7318
result/io_traces.ns826.oracleGeneral.zst S3FIFO cache size   387071, 2800000 req, miss ratio 0.7286, byte miss ratio 0.7286
result/io_traces.ns826.oracleGeneral.zst S3FIFO cache size   774142, 2800000 req, miss ratio 0.7131, byte miss ratio 0.7131
result/io_traces.ns826.oracleGeneral.zst S3FIFO cache size  1548285, 2800000 req, miss ratio 0.6930, byte miss ratio 0.6930
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d cache size     1935, 2800000 req, miss ratio 0.7505, byte miss ratio 0.7505
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d cache size     5806, 2800000 req, miss ratio 0.7444, byte miss ratio 0.7444
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d cache size    19353, 2800000 req, miss ratio 0.7399, byte miss ratio 0.7399
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d cache size    58060, 2800000 req, miss ratio 0.7366, byte miss ratio 0.7366
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d cache size   193535, 2800000 req, miss ratio 0.7318, byte miss ratio 0.7318
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d cache size   387071, 2800000 req, miss ratio 0.7286, byte miss ratio 0.7286
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d cache size   774142, 2800000 req, miss ratio 0.7131, byte miss ratio 0.7131
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d cache size  1548285, 2800000 req, miss ratio 0.6930, byte miss ratio 0.6930
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1935, 2800000 req, miss ratio 0.8068, byte miss ratio 0.8068
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5806, 2800000 req, miss ratio 0.7682, byte miss ratio 0.7682
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19353, 2800000 req, miss ratio 0.7436, byte miss ratio 0.7436
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    58060, 2800000 req, miss ratio 0.7372, byte miss ratio 0.7372
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   193535, 2800000 req, miss ratio 0.7227, byte miss ratio 0.7227
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   387071, 2800000 req, miss ratio 0.7091, byte miss ratio 0.7091
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   774142, 2800000 req, miss ratio 0.6984, byte miss ratio 0.6984
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1548285, 2800000 req, miss ratio 0.6927, byte miss ratio 0.6927
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1935, 2800000 req, miss ratio 0.7572, byte miss ratio 0.7572
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5806, 2800000 req, miss ratio 0.7494, byte miss ratio 0.7494
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19353, 2800000 req, miss ratio 0.7395, byte miss ratio 0.7395
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    58060, 2800000 req, miss ratio 0.7344, byte miss ratio 0.7344
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   193535, 2800000 req, miss ratio 0.7249, byte miss ratio 0.7249
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   387071, 2800000 req, miss ratio 0.7105, byte miss ratio 0.7105
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   774142, 2800000 req, miss ratio 0.6972, byte miss ratio 0.6972
result/io_traces.ns826.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1548285, 2800000 req, miss ratio 0.6953, byte miss ratio 0.6953
