result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  9470734, 51400000 req, miss ratio 0.5329, byte miss ratio 0.5329
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 18941469, 51400000 req, miss ratio 0.4755, byte miss ratio 0.4755
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23676, 51400000 req, miss ratio 0.8315, byte miss ratio 0.8315
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    71030, 51400000 req, miss ratio 0.7912, byte miss ratio 0.7912
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   236768, 51400000 req, miss ratio 0.7348, byte miss ratio 0.7348
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   710305, 51400000 req, miss ratio 0.6871, byte miss ratio 0.6871
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2367683, 51400000 req, miss ratio 0.6137, byte miss ratio 0.6137
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  4735367, 51400000 req, miss ratio 0.5716, byte miss ratio 0.5716
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  9470734, 51400000 req, miss ratio 0.5262, byte miss ratio 0.5262
result/io_traces.ns207.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 18941469, 51400000 req, miss ratio 0.4707, byte miss ratio 0.4707
