result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO cache size       46, 1663924 req, miss ratio 0.9748, byte miss ratio 0.9748
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO cache size      138, 1663924 req, miss ratio 0.9605, byte miss ratio 0.9605
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO cache size      460, 1663924 req, miss ratio 0.9141, byte miss ratio 0.9141
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO cache size     1381, 1663924 req, miss ratio 0.7924, byte miss ratio 0.7924
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO cache size     4606, 1663924 req, miss ratio 0.5014, byte miss ratio 0.5014
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO cache size     9212, 1663924 req, miss ratio 0.2807, byte miss ratio 0.2807
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO cache size    18424, 1663924 req, miss ratio 0.1022, byte miss ratio 0.1022
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO cache size    36848, 1663924 req, miss ratio 0.0311, byte miss ratio 0.0311
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       46, 1663924 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      138, 1663924 req, miss ratio 0.9638, byte miss ratio 0.9638
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      460, 1663924 req, miss ratio 0.9118, byte miss ratio 0.9118
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1381, 1663924 req, miss ratio 0.7768, byte miss ratio 0.7768
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4606, 1663924 req, miss ratio 0.4476, byte miss ratio 0.4476
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     9212, 1663924 req, miss ratio 0.2446, byte miss ratio 0.2446
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    18424, 1663924 req, miss ratio 0.0938, byte miss ratio 0.0938
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    36848, 1663924 req, miss ratio 0.0327, byte miss ratio 0.0327
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       46, 1663924 req, miss ratio 0.9766, byte miss ratio 0.9766
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      138, 1663924 req, miss ratio 0.9624, byte miss ratio 0.9624
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      460, 1663924 req, miss ratio 0.9147, byte miss ratio 0.9147
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1381, 1663924 req, miss ratio 0.7887, byte miss ratio 0.7887
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4606, 1663924 req, miss ratio 0.4829, byte miss ratio 0.4829
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     9212, 1663924 req, miss ratio 0.2683, byte miss ratio 0.2683
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    18424, 1663924 req, miss ratio 0.0991, byte miss ratio 0.0991
result/cdn1_nyc.ns140.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    36848, 1663924 req, miss ratio 0.0333, byte miss ratio 0.0333
