result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d cache size       21, 7329618 req, miss ratio 0.6761, byte miss ratio 0.6761
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d cache size       71, 7329618 req, miss ratio 0.5774, byte miss ratio 0.5774
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d cache size      214, 7329618 req, miss ratio 0.3518, byte miss ratio 0.3518
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d cache size      715, 7329618 req, miss ratio 0.1308, byte miss ratio 0.1308
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d cache size     1431, 7329618 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d cache size     2862, 7329618 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO cache size        7, 7329618 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO cache size       21, 7329618 req, miss ratio 0.6625, byte miss ratio 0.6625
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO cache size       71, 7329618 req, miss ratio 0.4968, byte miss ratio 0.4968
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO cache size      214, 7329618 req, miss ratio 0.3039, byte miss ratio 0.3039
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO cache size      715, 7329618 req, miss ratio 0.1185, byte miss ratio 0.1185
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO cache size     1431, 7329618 req, miss ratio 0.0417, byte miss ratio 0.0417
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO cache size     2862, 7329618 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        7, 7329618 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       21, 7329618 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       71, 7329618 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      214, 7329618 req, miss ratio 0.2942, byte miss ratio 0.2942
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      715, 7329618 req, miss ratio 0.1101, byte miss ratio 0.1101
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1431, 7329618 req, miss ratio 0.0384, byte miss ratio 0.0384
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2862, 7329618 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5724, 7329618 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        7, 7329618 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       21, 7329618 req, miss ratio 0.6704, byte miss ratio 0.6704
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       71, 7329618 req, miss ratio 0.4979, byte miss ratio 0.4979
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      214, 7329618 req, miss ratio 0.2997, byte miss ratio 0.2997
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      715, 7329618 req, miss ratio 0.1131, byte miss ratio 0.1131
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1431, 7329618 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2862, 7329618 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns546.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5724, 7329618 req, miss ratio 0.0011, byte miss ratio 0.0011
