result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO cache size      136, 3909901 req, miss ratio 0.2291, byte miss ratio 0.2291
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO cache size      455, 3909901 req, miss ratio 0.0985, byte miss ratio 0.0985
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO cache size     1367, 3909901 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO cache size     4557, 3909901 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO cache size     9114, 3909901 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       45, 3909901 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      136, 3909901 req, miss ratio 0.2813, byte miss ratio 0.2813
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      455, 3909901 req, miss ratio 0.1061, byte miss ratio 0.1061
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1367, 3909901 req, miss ratio 0.0327, byte miss ratio 0.0327
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4557, 3909901 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9114, 3909901 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18229, 3909901 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36458, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       45, 3909901 req, miss ratio 0.3987, byte miss ratio 0.3987
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      136, 3909901 req, miss ratio 0.2378, byte miss ratio 0.2378
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      455, 3909901 req, miss ratio 0.0948, byte miss ratio 0.0948
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1367, 3909901 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4557, 3909901 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9114, 3909901 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18229, 3909901 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns630.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36458, 3909901 req, miss ratio 0.0121, byte miss ratio 0.0121
