result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    68651, 671148881 req, miss ratio 0.0021, byte miss ratio 0.0021
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   137302, 671148881 req, miss ratio 0.0011, byte miss ratio 0.0011
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst TwoQ cache size      343, 671148881 req, miss ratio 0.0233, byte miss ratio 0.0233
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1029, 671148881 req, miss ratio 0.0194, byte miss ratio 0.0194
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst TwoQ cache size     3432, 671148881 req, miss ratio 0.0139, byte miss ratio 0.0139
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst TwoQ cache size    10297, 671148881 req, miss ratio 0.0080, byte miss ratio 0.0080
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst TwoQ cache size    34325, 671148881 req, miss ratio 0.0034, byte miss ratio 0.0034
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst TwoQ cache size    68651, 671148881 req, miss ratio 0.0020, byte miss ratio 0.0020
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst TwoQ cache size   137302, 671148881 req, miss ratio 0.0010, byte miss ratio 0.0010
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst TwoQ cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst B-LRU cache size      343, 671148881 req, miss ratio 0.0271, byte miss ratio 0.0271
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1029, 671148881 req, miss ratio 0.0224, byte miss ratio 0.0224
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst B-LRU cache size     3432, 671148881 req, miss ratio 0.0161, byte miss ratio 0.0161
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst B-LRU cache size    10297, 671148881 req, miss ratio 0.0087, byte miss ratio 0.0087
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst B-LRU cache size    34325, 671148881 req, miss ratio 0.0038, byte miss ratio 0.0038
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst B-LRU cache size    68651, 671148881 req, miss ratio 0.0024, byte miss ratio 0.0024
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst B-LRU cache size   137302, 671148881 req, miss ratio 0.0015, byte miss ratio 0.0015
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst B-LRU cache size   274604, 671148881 req, miss ratio 0.0010, byte miss ratio 0.0010
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      343, 671148881 req, miss ratio 0.0313, byte miss ratio 0.0313
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1029, 671148881 req, miss ratio 0.0212, byte miss ratio 0.0212
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     3432, 671148881 req, miss ratio 0.0145, byte miss ratio 0.0145
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    10297, 671148881 req, miss ratio 0.0078, byte miss ratio 0.0078
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    34325, 671148881 req, miss ratio 0.0032, byte miss ratio 0.0032
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    68651, 671148881 req, miss ratio 0.0018, byte miss ratio 0.0018
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   137302, 671148881 req, miss ratio 0.0009, byte miss ratio 0.0009
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      343, 671148881 req, miss ratio 0.0254, byte miss ratio 0.0254
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1029, 671148881 req, miss ratio 0.0212, byte miss ratio 0.0212
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     3432, 671148881 req, miss ratio 0.0146, byte miss ratio 0.0146
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    10297, 671148881 req, miss ratio 0.0078, byte miss ratio 0.0078
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    34325, 671148881 req, miss ratio 0.0032, byte miss ratio 0.0032
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    68651, 671148881 req, miss ratio 0.0018, byte miss ratio 0.0018
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   137302, 671148881 req, miss ratio 0.0009, byte miss ratio 0.0009
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      343, 671148881 req, miss ratio 0.1633, byte miss ratio 0.1633
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1029, 671148881 req, miss ratio 0.0221, byte miss ratio 0.0221
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     3432, 671148881 req, miss ratio 0.0140, byte miss ratio 0.0140
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    10297, 671148881 req, miss ratio 0.0086, byte miss ratio 0.0086
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    34325, 671148881 req, miss ratio 0.0040, byte miss ratio 0.0040
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    68651, 671148881 req, miss ratio 0.0023, byte miss ratio 0.0023
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   137302, 671148881 req, miss ratio 0.0011, byte miss ratio 0.0011
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      343, 671148881 req, miss ratio 0.0231, byte miss ratio 0.0231
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1029, 671148881 req, miss ratio 0.0193, byte miss ratio 0.0193
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     3432, 671148881 req, miss ratio 0.0139, byte miss ratio 0.0139
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    10297, 671148881 req, miss ratio 0.0084, byte miss ratio 0.0084
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    34325, 671148881 req, miss ratio 0.0040, byte miss ratio 0.0040
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    68651, 671148881 req, miss ratio 0.0022, byte miss ratio 0.0022
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   137302, 671148881 req, miss ratio 0.0011, byte miss ratio 0.0011
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
