result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   369177, 171305316 req, miss ratio 0.0098, byte miss ratio 0.0098
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   738354, 171305316 req, miss ratio 0.0059, byte miss ratio 0.0059
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      922, 171305316 req, miss ratio 0.3218, byte miss ratio 0.3218
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2768, 171305316 req, miss ratio 0.2305, byte miss ratio 0.2305
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     9229, 171305316 req, miss ratio 0.1548, byte miss ratio 0.1548
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    27688, 171305316 req, miss ratio 0.1267, byte miss ratio 0.1267
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    92294, 171305316 req, miss ratio 0.0440, byte miss ratio 0.0440
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   184588, 171305316 req, miss ratio 0.0218, byte miss ratio 0.0218
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   369177, 171305316 req, miss ratio 0.0103, byte miss ratio 0.0103
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   738354, 171305316 req, miss ratio 0.0060, byte miss ratio 0.0060
