result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    10071, 29422879 req, miss ratio 0.5907, byte miss ratio 0.5907
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    30214, 29422879 req, miss ratio 0.4042, byte miss ratio 0.4042
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   100716, 29422879 req, miss ratio 0.2061, byte miss ratio 0.2061
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   201432, 29422879 req, miss ratio 0.1095, byte miss ratio 0.1095
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   402864, 29422879 req, miss ratio 0.0546, byte miss ratio 0.0546
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   805728, 29422879 req, miss ratio 0.0363, byte miss ratio 0.0363
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1007, 29422879 req, miss ratio 0.8474, byte miss ratio 0.8474
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     3021, 29422879 req, miss ratio 0.7467, byte miss ratio 0.7467
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    10071, 29422879 req, miss ratio 0.5727, byte miss ratio 0.5727
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    30214, 29422879 req, miss ratio 0.3817, byte miss ratio 0.3817
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   100716, 29422879 req, miss ratio 0.2070, byte miss ratio 0.2070
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   201432, 29422879 req, miss ratio 0.1011, byte miss ratio 0.1011
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   402864, 29422879 req, miss ratio 0.0541, byte miss ratio 0.0541
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   805728, 29422879 req, miss ratio 0.0380, byte miss ratio 0.0380
