result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d cache size     3365, 1497698 req, miss ratio 0.2038, byte miss ratio 0.2038
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d cache size     6730, 1497698 req, miss ratio 0.0900, byte miss ratio 0.0900
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d cache size    13461, 1497698 req, miss ratio 0.0369, byte miss ratio 0.0369
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d cache size    26923, 1497698 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       33, 1497698 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      100, 1497698 req, miss ratio 0.7528, byte miss ratio 0.7528
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      336, 1497698 req, miss ratio 0.6190, byte miss ratio 0.6190
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1009, 1497698 req, miss ratio 0.4511, byte miss ratio 0.4511
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3365, 1497698 req, miss ratio 0.2130, byte miss ratio 0.2130
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     6730, 1497698 req, miss ratio 0.0850, byte miss ratio 0.0850
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    13461, 1497698 req, miss ratio 0.0410, byte miss ratio 0.0410
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    26923, 1497698 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       33, 1497698 req, miss ratio 0.8652, byte miss ratio 0.8652
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      100, 1497698 req, miss ratio 0.7346, byte miss ratio 0.7346
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      336, 1497698 req, miss ratio 0.5451, byte miss ratio 0.5451
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1009, 1497698 req, miss ratio 0.3989, byte miss ratio 0.3989
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3365, 1497698 req, miss ratio 0.2017, byte miss ratio 0.2017
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     6730, 1497698 req, miss ratio 0.0833, byte miss ratio 0.0833
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    13461, 1497698 req, miss ratio 0.0432, byte miss ratio 0.0432
result/cdn1_sjc.ns509.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    26923, 1497698 req, miss ratio 0.0259, byte miss ratio 0.0259
