result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   111374, 1888496 req, miss ratio 0.1821, byte miss ratio 0.1821
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   222748, 1888496 req, miss ratio 0.1562, byte miss ratio 0.1562
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      278, 1888496 req, miss ratio 0.5849, byte miss ratio 0.5849
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      835, 1888496 req, miss ratio 0.4261, byte miss ratio 0.4261
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2784, 1888496 req, miss ratio 0.2920, byte miss ratio 0.2920
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8353, 1888496 req, miss ratio 0.2722, byte miss ratio 0.2722
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    27843, 1888496 req, miss ratio 0.2354, byte miss ratio 0.2354
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    55687, 1888496 req, miss ratio 0.2059, byte miss ratio 0.2059
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   111374, 1888496 req, miss ratio 0.1767, byte miss ratio 0.1767
result/tencentBlock.ns25663.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   222748, 1888496 req, miss ratio 0.1497, byte miss ratio 0.1497
