result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       17, 27800596 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       52, 27800596 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      173, 27800596 req, miss ratio 0.4089, byte miss ratio 0.4089
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      520, 27800596 req, miss ratio 0.2639, byte miss ratio 0.2639
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1734, 27800596 req, miss ratio 0.1431, byte miss ratio 0.1431
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3468, 27800596 req, miss ratio 0.0839, byte miss ratio 0.0839
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     6937, 27800596 req, miss ratio 0.0175, byte miss ratio 0.0175
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    13874, 27800596 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       17, 27800596 req, miss ratio 0.6684, byte miss ratio 0.6684
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       52, 27800596 req, miss ratio 0.5244, byte miss ratio 0.5244
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      173, 27800596 req, miss ratio 0.3637, byte miss ratio 0.3637
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      520, 27800596 req, miss ratio 0.2156, byte miss ratio 0.2156
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1734, 27800596 req, miss ratio 0.1288, byte miss ratio 0.1288
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3468, 27800596 req, miss ratio 0.0804, byte miss ratio 0.0804
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     6937, 27800596 req, miss ratio 0.0187, byte miss ratio 0.0187
result/cdn1_lax.ns310.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    13874, 27800596 req, miss ratio 0.0007, byte miss ratio 0.0007
