result/cdn2_colo28.ns387.oracleGeneral.zst TwoQ cache size    52843, 3131344 req, miss ratio 0.2417, byte miss ratio 0.2417
result/cdn2_colo28.ns387.oracleGeneral.zst TwoQ cache size   105686, 3131344 req, miss ratio 0.2091, byte miss ratio 0.2091
result/cdn2_colo28.ns387.oracleGeneral.zst TwoQ cache size   211372, 3131344 req, miss ratio 0.1911, byte miss ratio 0.1911
result/cdn2_colo28.ns387.oracleGeneral.zst TwoQ cache size   422745, 3131344 req, miss ratio 0.1767, byte miss ratio 0.1767
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d cache size      528, 3131344 req, miss ratio 0.5692, byte miss ratio 0.5692
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d cache size     1585, 3131344 req, miss ratio 0.5559, byte miss ratio 0.5559
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d cache size     5284, 3131344 req, miss ratio 0.5243, byte miss ratio 0.5243
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d cache size    15852, 3131344 req, miss ratio 0.4475, byte miss ratio 0.4475
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d cache size    52843, 3131344 req, miss ratio 0.2326, byte miss ratio 0.2326
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d cache size   105686, 3131344 req, miss ratio 0.1889, byte miss ratio 0.1889
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d cache size   211372, 3131344 req, miss ratio 0.1735, byte miss ratio 0.1735
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d cache size   422745, 3131344 req, miss ratio 0.1690, byte miss ratio 0.1690
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO cache size      528, 3131344 req, miss ratio 0.5848, byte miss ratio 0.5848
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO cache size     1585, 3131344 req, miss ratio 0.5611, byte miss ratio 0.5611
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO cache size     5284, 3131344 req, miss ratio 0.5242, byte miss ratio 0.5242
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO cache size    15852, 3131344 req, miss ratio 0.4475, byte miss ratio 0.4475
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO cache size    52843, 3131344 req, miss ratio 0.2318, byte miss ratio 0.2318
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO cache size   105686, 3131344 req, miss ratio 0.1889, byte miss ratio 0.1889
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO cache size   211372, 3131344 req, miss ratio 0.1735, byte miss ratio 0.1735
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO cache size   422745, 3131344 req, miss ratio 0.1690, byte miss ratio 0.1690
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      528, 3131344 req, miss ratio 0.7205, byte miss ratio 0.7205
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1585, 3131344 req, miss ratio 0.6769, byte miss ratio 0.6769
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5284, 3131344 req, miss ratio 0.5429, byte miss ratio 0.5429
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15852, 3131344 req, miss ratio 0.4275, byte miss ratio 0.4275
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    52843, 3131344 req, miss ratio 0.2833, byte miss ratio 0.2833
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   105686, 3131344 req, miss ratio 0.2118, byte miss ratio 0.2118
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   211372, 3131344 req, miss ratio 0.1899, byte miss ratio 0.1899
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   422745, 3131344 req, miss ratio 0.1730, byte miss ratio 0.1730
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      528, 3131344 req, miss ratio 0.5965, byte miss ratio 0.5965
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1585, 3131344 req, miss ratio 0.5634, byte miss ratio 0.5634
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5284, 3131344 req, miss ratio 0.5236, byte miss ratio 0.5236
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15852, 3131344 req, miss ratio 0.4247, byte miss ratio 0.4247
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    52843, 3131344 req, miss ratio 0.2536, byte miss ratio 0.2536
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   105686, 3131344 req, miss ratio 0.2075, byte miss ratio 0.2075
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   211372, 3131344 req, miss ratio 0.1986, byte miss ratio 0.1986
result/cdn2_colo28.ns387.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   422745, 3131344 req, miss ratio 0.1821, byte miss ratio 0.1821
