result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst TwoQ cache size     8186, 152732993 req, miss ratio 0.1386, byte miss ratio 0.1386
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst TwoQ cache size    24558, 152732993 req, miss ratio 0.0797, byte miss ratio 0.0797
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst TwoQ cache size    81862, 152732993 req, miss ratio 0.0376, byte miss ratio 0.0376
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst TwoQ cache size   163725, 152732993 req, miss ratio 0.0222, byte miss ratio 0.0222
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst TwoQ cache size   327450, 152732993 req, miss ratio 0.0113, byte miss ratio 0.0113
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst TwoQ cache size   654900, 152732993 req, miss ratio 0.0070, byte miss ratio 0.0070
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      818, 152732993 req, miss ratio 0.3247, byte miss ratio 0.3247
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2455, 152732993 req, miss ratio 0.2562, byte miss ratio 0.2562
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     8186, 152732993 req, miss ratio 0.1483, byte miss ratio 0.1483
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    24558, 152732993 req, miss ratio 0.0857, byte miss ratio 0.0857
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    81862, 152732993 req, miss ratio 0.0407, byte miss ratio 0.0407
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   163725, 152732993 req, miss ratio 0.0230, byte miss ratio 0.0230
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   327450, 152732993 req, miss ratio 0.0117, byte miss ratio 0.0117
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   654900, 152732993 req, miss ratio 0.0065, byte miss ratio 0.0065
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      818, 152732993 req, miss ratio 0.3161, byte miss ratio 0.3161
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     2455, 152732993 req, miss ratio 0.2174, byte miss ratio 0.2174
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     8186, 152732993 req, miss ratio 0.1348, byte miss ratio 0.1348
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    24558, 152732993 req, miss ratio 0.0768, byte miss ratio 0.0768
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    81862, 152732993 req, miss ratio 0.0358, byte miss ratio 0.0358
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   163725, 152732993 req, miss ratio 0.0206, byte miss ratio 0.0206
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   327450, 152732993 req, miss ratio 0.0097, byte miss ratio 0.0097
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   654900, 152732993 req, miss ratio 0.0059, byte miss ratio 0.0059
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      818, 152732993 req, miss ratio 0.3165, byte miss ratio 0.3165
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     2455, 152732993 req, miss ratio 0.2159, byte miss ratio 0.2159
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     8186, 152732993 req, miss ratio 0.1348, byte miss ratio 0.1348
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    24558, 152732993 req, miss ratio 0.0764, byte miss ratio 0.0764
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    81862, 152732993 req, miss ratio 0.0358, byte miss ratio 0.0358
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   163725, 152732993 req, miss ratio 0.0206, byte miss ratio 0.0206
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   327450, 152732993 req, miss ratio 0.0096, byte miss ratio 0.0096
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   654900, 152732993 req, miss ratio 0.0059, byte miss ratio 0.0059
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      818, 152732993 req, miss ratio 0.3268, byte miss ratio 0.3268
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2455, 152732993 req, miss ratio 0.2469, byte miss ratio 0.2469
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     8186, 152732993 req, miss ratio 0.2260, byte miss ratio 0.2260
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    24558, 152732993 req, miss ratio 0.1058, byte miss ratio 0.1058
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    81862, 152732993 req, miss ratio 0.0481, byte miss ratio 0.0481
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   163725, 152732993 req, miss ratio 0.0225, byte miss ratio 0.0225
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   327450, 152732993 req, miss ratio 0.0098, byte miss ratio 0.0098
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   654900, 152732993 req, miss ratio 0.0059, byte miss ratio 0.0059
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      818, 152732993 req, miss ratio 0.3102, byte miss ratio 0.3102
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2455, 152732993 req, miss ratio 0.2578, byte miss ratio 0.2578
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     8186, 152732993 req, miss ratio 0.1544, byte miss ratio 0.1544
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    24558, 152732993 req, miss ratio 0.0927, byte miss ratio 0.0927
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    81862, 152732993 req, miss ratio 0.0385, byte miss ratio 0.0385
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   163725, 152732993 req, miss ratio 0.0198, byte miss ratio 0.0198
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   327450, 152732993 req, miss ratio 0.0102, byte miss ratio 0.0102
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   654900, 152732993 req, miss ratio 0.0062, byte miss ratio 0.0062
