result/strato_negative_result_cache.0.oracleGeneral.sample10.zst TwoQ cache size   564500, 507257408 req, miss ratio 0.0308, byte miss ratio 0.0308
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1129000, 507257408 req, miss ratio 0.0214, byte miss ratio 0.0214
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst TwoQ cache size  2258000, 507257408 req, miss ratio 0.0158, byte miss ratio 0.0158
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst TwoQ cache size  4516001, 507257408 req, miss ratio 0.0123, byte miss ratio 0.0123
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     5645, 507257408 req, miss ratio 0.2446, byte miss ratio 0.2446
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    16935, 507257408 req, miss ratio 0.1625, byte miss ratio 0.1625
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    56450, 507257408 req, miss ratio 0.0945, byte miss ratio 0.0945
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   169350, 507257408 req, miss ratio 0.0541, byte miss ratio 0.0541
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   564500, 507257408 req, miss ratio 0.0282, byte miss ratio 0.0282
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1129000, 507257408 req, miss ratio 0.0195, byte miss ratio 0.0195
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  2258000, 507257408 req, miss ratio 0.0138, byte miss ratio 0.0138
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  4516001, 507257408 req, miss ratio 0.0113, byte miss ratio 0.0113
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     5645, 507257408 req, miss ratio 0.2482, byte miss ratio 0.2482
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    16935, 507257408 req, miss ratio 0.1631, byte miss ratio 0.1631
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    56450, 507257408 req, miss ratio 0.0948, byte miss ratio 0.0948
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   169350, 507257408 req, miss ratio 0.0545, byte miss ratio 0.0545
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   564500, 507257408 req, miss ratio 0.0286, byte miss ratio 0.0286
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1129000, 507257408 req, miss ratio 0.0195, byte miss ratio 0.0195
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  2258000, 507257408 req, miss ratio 0.0138, byte miss ratio 0.0138
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  4516001, 507257408 req, miss ratio 0.0113, byte miss ratio 0.0113
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     5645, 507257408 req, miss ratio 0.2500, byte miss ratio 0.2500
