result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    12611, 13334390 req, miss ratio 0.1000, byte miss ratio 0.1000
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    42038, 13334390 req, miss ratio 0.0654, byte miss ratio 0.0654
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    84077, 13334390 req, miss ratio 0.0505, byte miss ratio 0.0505
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   168154, 13334390 req, miss ratio 0.0400, byte miss ratio 0.0400
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   336308, 13334390 req, miss ratio 0.0331, byte miss ratio 0.0331
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      420, 13334390 req, miss ratio 0.2178, byte miss ratio 0.2178
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1261, 13334390 req, miss ratio 0.1638, byte miss ratio 0.1638
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     4203, 13334390 req, miss ratio 0.1228, byte miss ratio 0.1228
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    12611, 13334390 req, miss ratio 0.0964, byte miss ratio 0.0964
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    42038, 13334390 req, miss ratio 0.0683, byte miss ratio 0.0683
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    84077, 13334390 req, miss ratio 0.0522, byte miss ratio 0.0522
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   168154, 13334390 req, miss ratio 0.0398, byte miss ratio 0.0398
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   336308, 13334390 req, miss ratio 0.0336, byte miss ratio 0.0336
