result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d cache size      590, 1772758 req, miss ratio 0.7466, byte miss ratio 0.7466
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d cache size     1967, 1772758 req, miss ratio 0.6051, byte miss ratio 0.6051
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d cache size     5902, 1772758 req, miss ratio 0.4524, byte miss ratio 0.4524
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d cache size    19673, 1772758 req, miss ratio 0.2910, byte miss ratio 0.2910
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d cache size    39347, 1772758 req, miss ratio 0.2049, byte miss ratio 0.2049
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d cache size    78695, 1772758 req, miss ratio 0.1380, byte miss ratio 0.1380
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d cache size   157390, 1772758 req, miss ratio 0.1110, byte miss ratio 0.1110
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO cache size      196, 1772758 req, miss ratio 0.8077, byte miss ratio 0.8077
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO cache size      590, 1772758 req, miss ratio 0.7240, byte miss ratio 0.7240
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO cache size     1967, 1772758 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO cache size     5902, 1772758 req, miss ratio 0.4481, byte miss ratio 0.4481
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO cache size    19673, 1772758 req, miss ratio 0.2898, byte miss ratio 0.2898
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO cache size    39347, 1772758 req, miss ratio 0.2036, byte miss ratio 0.2036
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO cache size    78695, 1772758 req, miss ratio 0.1378, byte miss ratio 0.1378
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO cache size   157390, 1772758 req, miss ratio 0.1110, byte miss ratio 0.1110
