result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1317, 654038818 req, miss ratio 0.1201, byte miss ratio 0.1201
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     4391, 654038818 req, miss ratio 0.0552, byte miss ratio 0.0552
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    13175, 654038818 req, miss ratio 0.0168, byte miss ratio 0.0168
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    43919, 654038818 req, miss ratio 0.0032, byte miss ratio 0.0032
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    87839, 654038818 req, miss ratio 0.0012, byte miss ratio 0.0012
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      439, 654038818 req, miss ratio 0.2133, byte miss ratio 0.2133
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1317, 654038818 req, miss ratio 0.1210, byte miss ratio 0.1210
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     4391, 654038818 req, miss ratio 0.0554, byte miss ratio 0.0554
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    13175, 654038818 req, miss ratio 0.0168, byte miss ratio 0.0168
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    43919, 654038818 req, miss ratio 0.0032, byte miss ratio 0.0032
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    87839, 654038818 req, miss ratio 0.0012, byte miss ratio 0.0012
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      439, 654038818 req, miss ratio 0.2367, byte miss ratio 0.2367
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1317, 654038818 req, miss ratio 0.1362, byte miss ratio 0.1362
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     4391, 654038818 req, miss ratio 0.0528, byte miss ratio 0.0528
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    13175, 654038818 req, miss ratio 0.0169, byte miss ratio 0.0169
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    43919, 654038818 req, miss ratio 0.0066, byte miss ratio 0.0066
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    87839, 654038818 req, miss ratio 0.0016, byte miss ratio 0.0016
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   175678, 654038818 req, miss ratio 0.0010, byte miss ratio 0.0010
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   351357, 654038818 req, miss ratio 0.0008, byte miss ratio 0.0008
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      439, 654038818 req, miss ratio 0.2062, byte miss ratio 0.2062
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1317, 654038818 req, miss ratio 0.1165, byte miss ratio 0.1165
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     4391, 654038818 req, miss ratio 0.0526, byte miss ratio 0.0526
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    13175, 654038818 req, miss ratio 0.0168, byte miss ratio 0.0168
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    43919, 654038818 req, miss ratio 0.0038, byte miss ratio 0.0038
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    87839, 654038818 req, miss ratio 0.0017, byte miss ratio 0.0017
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   175678, 654038818 req, miss ratio 0.0010, byte miss ratio 0.0010
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   351357, 654038818 req, miss ratio 0.0008, byte miss ratio 0.0008
