result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   396288, 825591125 req, miss ratio 0.1038, byte miss ratio 0.1038
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1188865, 825591125 req, miss ratio 0.0865, byte miss ratio 0.0865
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3962885, 825591125 req, miss ratio 0.0736, byte miss ratio 0.0736
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  7925770, 825591125 req, miss ratio 0.0667, byte miss ratio 0.0667
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 15851541, 825591125 req, miss ratio 0.0602, byte miss ratio 0.0602
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 31703082, 825591125 req, miss ratio 0.0512, byte miss ratio 0.0512
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    39628, 825591125 req, miss ratio 0.1810, byte miss ratio 0.1810
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   118886, 825591125 req, miss ratio 0.1356, byte miss ratio 0.1356
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   396288, 825591125 req, miss ratio 0.1390, byte miss ratio 0.1390
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1188865, 825591125 req, miss ratio 0.0841, byte miss ratio 0.0841
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3962885, 825591125 req, miss ratio 0.0684, byte miss ratio 0.0684
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  7925770, 825591125 req, miss ratio 0.0614, byte miss ratio 0.0614
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 15851541, 825591125 req, miss ratio 0.0545, byte miss ratio 0.0545
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 31703082, 825591125 req, miss ratio 0.0490, byte miss ratio 0.0490
