w32.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    36903, 20776392 req, miss ratio 0.7254, byte miss ratio 0.7254
w32.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   110711, 20776392 req, miss ratio 0.7034, byte miss ratio 0.7034
w32.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   369039, 20776392 req, miss ratio 0.6571, byte miss ratio 0.6571
w32.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   738079, 20776392 req, miss ratio 0.5239, byte miss ratio 0.5239
w32.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3900, byte miss ratio 0.3900
w32.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2615, byte miss ratio 0.2615
w32.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     3690, 20776392 req, miss ratio 0.7738, byte miss ratio 0.7738
w32.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    11071, 20776392 req, miss ratio 0.7509, byte miss ratio 0.7509
w32.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    36903, 20776392 req, miss ratio 0.7186, byte miss ratio 0.7186
w32.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   110711, 20776392 req, miss ratio 0.6864, byte miss ratio 0.6864
w32.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   369039, 20776392 req, miss ratio 0.6640, byte miss ratio 0.6640
w32.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   738079, 20776392 req, miss ratio 0.5105, byte miss ratio 0.5105
w32.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3606, byte miss ratio 0.3606
w32.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2426, byte miss ratio 0.2426
w32.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     3690, 20776392 req, miss ratio 0.7821, byte miss ratio 0.7821
w32.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    11071, 20776392 req, miss ratio 0.7655, byte miss ratio 0.7655
w32.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    36903, 20776392 req, miss ratio 0.7341, byte miss ratio 0.7341
w32.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   110711, 20776392 req, miss ratio 0.6980, byte miss ratio 0.6980
