prn_0.IQI.bin S3FIFO-0.2000-0.9000 cache size     2134, 5585886 req, miss ratio 0.3431, byte miss ratio 0.3431
prn_0.IQI.bin S3FIFO-0.2000-0.9000 cache size     7113, 5585886 req, miss ratio 0.3157, byte miss ratio 0.3157
prn_0.IQI.bin S3FIFO-0.2000-0.9000 cache size    21341, 5585886 req, miss ratio 0.2842, byte miss ratio 0.2842
prn_0.IQI.bin S3FIFO-0.2000-0.9000 cache size    71138, 5585886 req, miss ratio 0.2125, byte miss ratio 0.2125
prn_0.IQI.bin S3FIFO-0.2000-0.9000 cache size   142277, 5585886 req, miss ratio 0.1749, byte miss ratio 0.1749
prn_0.IQI.bin S3FIFO-0.2000-0.9000 cache size   284554, 5585886 req, miss ratio 0.1426, byte miss ratio 0.1426
prn_0.IQI.bin S3FIFO-0.2000-0.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.8000-1.9000 cache size      711, 5585886 req, miss ratio 0.3813, byte miss ratio 0.3813
prn_0.IQI.bin S3FIFO-0.8000-1.9000 cache size     2134, 5585886 req, miss ratio 0.3510, byte miss ratio 0.3510
prn_0.IQI.bin S3FIFO-0.8000-1.9000 cache size     7113, 5585886 req, miss ratio 0.3280, byte miss ratio 0.3280
prn_0.IQI.bin S3FIFO-0.8000-1.9000 cache size    21341, 5585886 req, miss ratio 0.2996, byte miss ratio 0.2996
prn_0.IQI.bin S3FIFO-0.8000-1.9000 cache size    71138, 5585886 req, miss ratio 0.2320, byte miss ratio 0.2320
prn_0.IQI.bin S3FIFO-0.8000-1.9000 cache size   142277, 5585886 req, miss ratio 0.1929, byte miss ratio 0.1929
prn_0.IQI.bin S3FIFO-0.8000-1.9000 cache size   284554, 5585886 req, miss ratio 0.1502, byte miss ratio 0.1502
prn_0.IQI.bin S3FIFO-0.8000-1.9000 cache size   569108, 5585886 req, miss ratio 0.1354, byte miss ratio 0.1354
prn_0.IQI.bin S3FIFO-0.2500-1.9000 cache size      711, 5585886 req, miss ratio 0.3729, byte miss ratio 0.3729
prn_0.IQI.bin S3FIFO-0.2500-1.9000 cache size     2134, 5585886 req, miss ratio 0.3424, byte miss ratio 0.3424
prn_0.IQI.bin S3FIFO-0.2500-1.9000 cache size     7113, 5585886 req, miss ratio 0.3167, byte miss ratio 0.3167
prn_0.IQI.bin S3FIFO-0.2500-1.9000 cache size    21341, 5585886 req, miss ratio 0.2842, byte miss ratio 0.2842
prn_0.IQI.bin S3FIFO-0.2500-1.9000 cache size    71138, 5585886 req, miss ratio 0.2177, byte miss ratio 0.2177
prn_0.IQI.bin S3FIFO-0.2500-1.9000 cache size   142277, 5585886 req, miss ratio 0.1777, byte miss ratio 0.1777
prn_0.IQI.bin S3FIFO-0.2500-1.9000 cache size   284554, 5585886 req, miss ratio 0.1428, byte miss ratio 0.1428
prn_0.IQI.bin S3FIFO-0.2500-1.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.4500-1.9000 cache size      711, 5585886 req, miss ratio 0.3744, byte miss ratio 0.3744
prn_0.IQI.bin S3FIFO-0.4500-1.9000 cache size     2134, 5585886 req, miss ratio 0.3434, byte miss ratio 0.3434
prn_0.IQI.bin S3FIFO-0.4500-1.9000 cache size     7113, 5585886 req, miss ratio 0.3205, byte miss ratio 0.3205
prn_0.IQI.bin S3FIFO-0.4500-1.9000 cache size    21341, 5585886 req, miss ratio 0.2886, byte miss ratio 0.2886
prn_0.IQI.bin S3FIFO-0.4500-1.9000 cache size    71138, 5585886 req, miss ratio 0.2231, byte miss ratio 0.2231
prn_0.IQI.bin S3FIFO-0.4500-1.9000 cache size   142277, 5585886 req, miss ratio 0.1826, byte miss ratio 0.1826
prn_0.IQI.bin S3FIFO-0.4500-1.9000 cache size   284554, 5585886 req, miss ratio 0.1444, byte miss ratio 0.1444
prn_0.IQI.bin S3FIFO-0.4500-1.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.9900-0.9000 cache size      711, 5585886 req, miss ratio 0.3948, byte miss ratio 0.3948
prn_0.IQI.bin S3FIFO-0.9900-0.9000 cache size     2134, 5585886 req, miss ratio 0.3608, byte miss ratio 0.3608
prn_0.IQI.bin S3FIFO-0.9900-0.9000 cache size     7113, 5585886 req, miss ratio 0.3349, byte miss ratio 0.3349
prn_0.IQI.bin S3FIFO-0.9900-0.9000 cache size    21341, 5585886 req, miss ratio 0.3050, byte miss ratio 0.3050
prn_0.IQI.bin S3FIFO-0.9900-0.9000 cache size    71138, 5585886 req, miss ratio 0.2394, byte miss ratio 0.2394
prn_0.IQI.bin S3FIFO-0.9900-0.9000 cache size   142277, 5585886 req, miss ratio 0.1978, byte miss ratio 0.1978
prn_0.IQI.bin S3FIFO-0.9900-0.9000 cache size   284554, 5585886 req, miss ratio 0.1556, byte miss ratio 0.1556
prn_0.IQI.bin S3FIFO-0.9900-0.9000 cache size   569108, 5585886 req, miss ratio 0.1390, byte miss ratio 0.1390
prn_0.IQI.bin S3FIFO-0.0050-1.9000 cache size      711, 5585886 req, miss ratio 0.4017, byte miss ratio 0.4017
prn_0.IQI.bin S3FIFO-0.0050-1.9000 cache size     2134, 5585886 req, miss ratio 0.3570, byte miss ratio 0.3570
prn_0.IQI.bin S3FIFO-0.0050-1.9000 cache size     7113, 5585886 req, miss ratio 0.3245, byte miss ratio 0.3245
prn_0.IQI.bin S3FIFO-0.0050-1.9000 cache size    21341, 5585886 req, miss ratio 0.2862, byte miss ratio 0.2862
prn_0.IQI.bin S3FIFO-0.0050-1.9000 cache size    71138, 5585886 req, miss ratio 0.2194, byte miss ratio 0.2194
prn_0.IQI.bin S3FIFO-0.0050-1.9000 cache size   142277, 5585886 req, miss ratio 0.1771, byte miss ratio 0.1771
prn_0.IQI.bin S3FIFO-0.0050-1.9000 cache size   284554, 5585886 req, miss ratio 0.1363, byte miss ratio 0.1363
prn_0.IQI.bin S3FIFO-0.0050-1.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.0050-0.9000 cache size      711, 5585886 req, miss ratio 0.4048, byte miss ratio 0.4048
prn_0.IQI.bin S3FIFO-0.0050-0.9000 cache size     2134, 5585886 req, miss ratio 0.3581, byte miss ratio 0.3581
prn_0.IQI.bin S3FIFO-0.0050-0.9000 cache size     7113, 5585886 req, miss ratio 0.3243, byte miss ratio 0.3243
prn_0.IQI.bin S3FIFO-0.0050-0.9000 cache size    21341, 5585886 req, miss ratio 0.2871, byte miss ratio 0.2871
prn_0.IQI.bin S3FIFO-0.0050-0.9000 cache size    71138, 5585886 req, miss ratio 0.2162, byte miss ratio 0.2162
prn_0.IQI.bin S3FIFO-0.0050-0.9000 cache size   142277, 5585886 req, miss ratio 0.1767, byte miss ratio 0.1767
prn_0.IQI.bin S3FIFO-0.0050-0.9000 cache size   284554, 5585886 req, miss ratio 0.1363, byte miss ratio 0.1363
prn_0.IQI.bin S3FIFO-0.0050-0.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.7500-0.9000 cache size      711, 5585886 req, miss ratio 0.3795, byte miss ratio 0.3795
prn_0.IQI.bin S3FIFO-0.7500-0.9000 cache size     2134, 5585886 req, miss ratio 0.3489, byte miss ratio 0.3489
prn_0.IQI.bin S3FIFO-0.7500-0.9000 cache size     7113, 5585886 req, miss ratio 0.3265, byte miss ratio 0.3265
prn_0.IQI.bin S3FIFO-0.7500-0.9000 cache size    21341, 5585886 req, miss ratio 0.2975, byte miss ratio 0.2975
prn_0.IQI.bin S3FIFO-0.7500-0.9000 cache size    71138, 5585886 req, miss ratio 0.2290, byte miss ratio 0.2290
prn_0.IQI.bin S3FIFO-0.7500-0.9000 cache size   142277, 5585886 req, miss ratio 0.1911, byte miss ratio 0.1911
prn_0.IQI.bin S3FIFO-0.7500-0.9000 cache size   284554, 5585886 req, miss ratio 0.1480, byte miss ratio 0.1480
prn_0.IQI.bin S3FIFO-0.7500-0.9000 cache size   569108, 5585886 req, miss ratio 0.1351, byte miss ratio 0.1351
prn_0.IQI.bin S3FIFO-0.7000-0.9000 cache size      711, 5585886 req, miss ratio 0.3790, byte miss ratio 0.3790
prn_0.IQI.bin S3FIFO-0.7000-0.9000 cache size     2134, 5585886 req, miss ratio 0.3476, byte miss ratio 0.3476
prn_0.IQI.bin S3FIFO-0.7000-0.9000 cache size     7113, 5585886 req, miss ratio 0.3254, byte miss ratio 0.3254
prn_0.IQI.bin S3FIFO-0.7000-0.9000 cache size    21341, 5585886 req, miss ratio 0.2961, byte miss ratio 0.2961
prn_0.IQI.bin S3FIFO-0.7000-0.9000 cache size    71138, 5585886 req, miss ratio 0.2280, byte miss ratio 0.2280
prn_0.IQI.bin S3FIFO-0.7000-0.9000 cache size   142277, 5585886 req, miss ratio 0.1891, byte miss ratio 0.1891
prn_0.IQI.bin S3FIFO-0.7000-0.9000 cache size   284554, 5585886 req, miss ratio 0.1452, byte miss ratio 0.1452
prn_0.IQI.bin S3FIFO-0.7000-0.9000 cache size   569108, 5585886 req, miss ratio 0.1350, byte miss ratio 0.1350
prn_0.IQI.bin S3FIFO-0.6000-0.9000 cache size      711, 5585886 req, miss ratio 0.3770, byte miss ratio 0.3770
prn_0.IQI.bin S3FIFO-0.6000-0.9000 cache size     2134, 5585886 req, miss ratio 0.3455, byte miss ratio 0.3455
prn_0.IQI.bin S3FIFO-0.6000-0.9000 cache size     7113, 5585886 req, miss ratio 0.3231, byte miss ratio 0.3231
prn_0.IQI.bin S3FIFO-0.6000-0.9000 cache size    21341, 5585886 req, miss ratio 0.2932, byte miss ratio 0.2932
prn_0.IQI.bin S3FIFO-0.6000-0.9000 cache size    71138, 5585886 req, miss ratio 0.2264, byte miss ratio 0.2264
prn_0.IQI.bin S3FIFO-0.6000-0.9000 cache size   142277, 5585886 req, miss ratio 0.1858, byte miss ratio 0.1858
prn_0.IQI.bin S3FIFO-0.6000-0.9000 cache size   284554, 5585886 req, miss ratio 0.1419, byte miss ratio 0.1419
prn_0.IQI.bin S3FIFO-0.6000-0.9000 cache size   569108, 5585886 req, miss ratio 0.1331, byte miss ratio 0.1331
prn_0.IQI.bin S3FIFO-0.3000-0.9000 cache size      711, 5585886 req, miss ratio 0.3735, byte miss ratio 0.3735
prn_0.IQI.bin S3FIFO-0.3000-0.9000 cache size     2134, 5585886 req, miss ratio 0.3427, byte miss ratio 0.3427
prn_0.IQI.bin S3FIFO-0.3000-0.9000 cache size     7113, 5585886 req, miss ratio 0.3168, byte miss ratio 0.3168
prn_0.IQI.bin S3FIFO-0.3000-0.9000 cache size    21341, 5585886 req, miss ratio 0.2856, byte miss ratio 0.2856
prn_0.IQI.bin S3FIFO-0.3000-0.9000 cache size    71138, 5585886 req, miss ratio 0.2145, byte miss ratio 0.2145
prn_0.IQI.bin S3FIFO-0.3000-0.9000 cache size   142277, 5585886 req, miss ratio 0.1777, byte miss ratio 0.1777
prn_0.IQI.bin S3FIFO-0.3000-0.9000 cache size   284554, 5585886 req, miss ratio 0.1440, byte miss ratio 0.1440
prn_0.IQI.bin S3FIFO-0.3000-0.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.3500-1.9000 cache size      711, 5585886 req, miss ratio 0.3734, byte miss ratio 0.3734
