cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0938, byte miss ratio 0.0938
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0920, byte miss ratio 0.0920
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0912, byte miss ratio 0.0912
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    16553, 182558107 req, miss ratio 0.1420, byte miss ratio 0.1420
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    49660, 182558107 req, miss ratio 0.1235, byte miss ratio 0.1235
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   165535, 182558107 req, miss ratio 0.1082, byte miss ratio 0.1082
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   496607, 182558107 req, miss ratio 0.0991, byte miss ratio 0.0991
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0934, byte miss ratio 0.0934
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0918, byte miss ratio 0.0918
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0911, byte miss ratio 0.0911
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size    16553, 182558107 req, miss ratio 0.1493, byte miss ratio 0.1493
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size    49660, 182558107 req, miss ratio 0.1298, byte miss ratio 0.1298
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   165535, 182558107 req, miss ratio 0.1131, byte miss ratio 0.1131
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   496607, 182558107 req, miss ratio 0.1023, byte miss ratio 0.1023
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  1655357, 182558107 req, miss ratio 0.0950, byte miss ratio 0.0950
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  3310715, 182558107 req, miss ratio 0.0926, byte miss ratio 0.0926
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  6621430, 182558107 req, miss ratio 0.0915, byte miss ratio 0.0915
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size 13242861, 182558107 req, miss ratio 0.0908, byte miss ratio 0.0908
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    16553, 182558107 req, miss ratio 0.1507, byte miss ratio 0.1507
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    49660, 182558107 req, miss ratio 0.1323, byte miss ratio 0.1323
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   165535, 182558107 req, miss ratio 0.1053, byte miss ratio 0.1053
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   496607, 182558107 req, miss ratio 0.0975, byte miss ratio 0.0975
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  1655357, 182558107 req, miss ratio 0.0934, byte miss ratio 0.0934
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  3310715, 182558107 req, miss ratio 0.0921, byte miss ratio 0.0921
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  6621430, 182558107 req, miss ratio 0.0913, byte miss ratio 0.0913
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    16553, 182558107 req, miss ratio 0.1498, byte miss ratio 0.1498
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    49660, 182558107 req, miss ratio 0.1187, byte miss ratio 0.1187
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   165535, 182558107 req, miss ratio 0.1048, byte miss ratio 0.1048
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   496607, 182558107 req, miss ratio 0.0972, byte miss ratio 0.0972
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0932, byte miss ratio 0.0932
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0920, byte miss ratio 0.0920
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0912, byte miss ratio 0.0912
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    16553, 182558107 req, miss ratio 0.1483, byte miss ratio 0.1483
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    49660, 182558107 req, miss ratio 0.1288, byte miss ratio 0.1288
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   165535, 182558107 req, miss ratio 0.1123, byte miss ratio 0.1123
