cdn1_allcolo.ns5367 S3FIFO-0.9900-0.9000 cache size     1637, 1019593 req, miss ratio 0.0110, byte miss ratio 0.0110
cdn1_allcolo.ns5367 S3FIFO-0.9900-0.9000 cache size     3274, 1019593 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns5367 S3FIFO-0.9900-0.9000 cache size     6548, 1019593 req, miss ratio 0.0085, byte miss ratio 0.0085
cdn1_allcolo.ns5367 S3FIFO-0.8000-0.9000 cache size        8, 1019593 req, miss ratio 0.0520, byte miss ratio 0.0520
cdn1_allcolo.ns5367 S3FIFO-0.8000-0.9000 cache size       24, 1019593 req, miss ratio 0.0397, byte miss ratio 0.0397
cdn1_allcolo.ns5367 S3FIFO-0.8000-0.9000 cache size       81, 1019593 req, miss ratio 0.0261, byte miss ratio 0.0261
cdn1_allcolo.ns5367 S3FIFO-0.8000-0.9000 cache size      245, 1019593 req, miss ratio 0.0184, byte miss ratio 0.0184
cdn1_allcolo.ns5367 S3FIFO-0.8000-0.9000 cache size      818, 1019593 req, miss ratio 0.0127, byte miss ratio 0.0127
cdn1_allcolo.ns5367 S3FIFO-0.8000-0.9000 cache size     1637, 1019593 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_allcolo.ns5367 S3FIFO-0.8000-0.9000 cache size     3274, 1019593 req, miss ratio 0.0091, byte miss ratio 0.0091
cdn1_allcolo.ns5367 S3FIFO-0.8000-0.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.5500-1.9000 cache size        8, 1019593 req, miss ratio 0.0507, byte miss ratio 0.0507
cdn1_allcolo.ns5367 S3FIFO-0.5500-1.9000 cache size       24, 1019593 req, miss ratio 0.0375, byte miss ratio 0.0375
cdn1_allcolo.ns5367 S3FIFO-0.5500-1.9000 cache size       81, 1019593 req, miss ratio 0.0241, byte miss ratio 0.0241
cdn1_allcolo.ns5367 S3FIFO-0.5500-1.9000 cache size      245, 1019593 req, miss ratio 0.0172, byte miss ratio 0.0172
cdn1_allcolo.ns5367 S3FIFO-0.5500-1.9000 cache size      818, 1019593 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_allcolo.ns5367 S3FIFO-0.5500-1.9000 cache size     1637, 1019593 req, miss ratio 0.0099, byte miss ratio 0.0099
cdn1_allcolo.ns5367 S3FIFO-0.5500-1.9000 cache size     3274, 1019593 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn1_allcolo.ns5367 S3FIFO-0.5500-1.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.1000-1.9000 cache size        8, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.1000-1.9000 cache size       24, 1019593 req, miss ratio 0.0341, byte miss ratio 0.0341
cdn1_allcolo.ns5367 S3FIFO-0.1000-1.9000 cache size       81, 1019593 req, miss ratio 0.0217, byte miss ratio 0.0217
cdn1_allcolo.ns5367 S3FIFO-0.1000-1.9000 cache size      245, 1019593 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns5367 S3FIFO-0.1000-1.9000 cache size      818, 1019593 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_allcolo.ns5367 S3FIFO-0.1000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.1000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn1_allcolo.ns5367 S3FIFO-0.1000-1.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.6500-0.9000 cache size        8, 1019593 req, miss ratio 0.0513, byte miss ratio 0.0513
cdn1_allcolo.ns5367 S3FIFO-0.6500-0.9000 cache size       24, 1019593 req, miss ratio 0.0382, byte miss ratio 0.0382
cdn1_allcolo.ns5367 S3FIFO-0.6500-0.9000 cache size       81, 1019593 req, miss ratio 0.0248, byte miss ratio 0.0248
cdn1_allcolo.ns5367 S3FIFO-0.6500-0.9000 cache size      245, 1019593 req, miss ratio 0.0176, byte miss ratio 0.0176
cdn1_allcolo.ns5367 S3FIFO-0.6500-0.9000 cache size      818, 1019593 req, miss ratio 0.0123, byte miss ratio 0.0123
cdn1_allcolo.ns5367 S3FIFO-0.6500-0.9000 cache size     1637, 1019593 req, miss ratio 0.0101, byte miss ratio 0.0101
cdn1_allcolo.ns5367 S3FIFO-0.6500-0.9000 cache size     3274, 1019593 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns5367 S3FIFO-0.6500-0.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.0100-0.9000 cache size        8, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0100-0.9000 cache size       24, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0100-0.9000 cache size       81, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0100-0.9000 cache size      245, 1019593 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns5367 S3FIFO-0.0100-0.9000 cache size      818, 1019593 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_allcolo.ns5367 S3FIFO-0.0100-0.9000 cache size     1637, 1019593 req, miss ratio 0.0098, byte miss ratio 0.0098
cdn1_allcolo.ns5367 S3FIFO-0.0100-0.9000 cache size     3274, 1019593 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns5367 S3FIFO-0.0100-0.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.8000-1.9000 cache size        8, 1019593 req, miss ratio 0.0520, byte miss ratio 0.0520
cdn1_allcolo.ns5367 S3FIFO-0.8000-1.9000 cache size       24, 1019593 req, miss ratio 0.0397, byte miss ratio 0.0397
cdn1_allcolo.ns5367 S3FIFO-0.8000-1.9000 cache size       81, 1019593 req, miss ratio 0.0260, byte miss ratio 0.0260
cdn1_allcolo.ns5367 S3FIFO-0.8000-1.9000 cache size      245, 1019593 req, miss ratio 0.0184, byte miss ratio 0.0184
cdn1_allcolo.ns5367 S3FIFO-0.8000-1.9000 cache size      818, 1019593 req, miss ratio 0.0127, byte miss ratio 0.0127
cdn1_allcolo.ns5367 S3FIFO-0.8000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_allcolo.ns5367 S3FIFO-0.8000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0091, byte miss ratio 0.0091
cdn1_allcolo.ns5367 S3FIFO-0.8000-1.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.4000-0.9000 cache size        8, 1019593 req, miss ratio 0.0498, byte miss ratio 0.0498
cdn1_allcolo.ns5367 S3FIFO-0.4000-0.9000 cache size       24, 1019593 req, miss ratio 0.0358, byte miss ratio 0.0358
cdn1_allcolo.ns5367 S3FIFO-0.4000-0.9000 cache size       81, 1019593 req, miss ratio 0.0231, byte miss ratio 0.0231
cdn1_allcolo.ns5367 S3FIFO-0.4000-0.9000 cache size      245, 1019593 req, miss ratio 0.0167, byte miss ratio 0.0167
cdn1_allcolo.ns5367 S3FIFO-0.4000-0.9000 cache size      818, 1019593 req, miss ratio 0.0119, byte miss ratio 0.0119
cdn1_allcolo.ns5367 S3FIFO-0.4000-0.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.4000-0.9000 cache size     3274, 1019593 req, miss ratio 0.0087, byte miss ratio 0.0087
cdn1_allcolo.ns5367 S3FIFO-0.4000-0.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.5000-1.9000 cache size        8, 1019593 req, miss ratio 0.0507, byte miss ratio 0.0507
cdn1_allcolo.ns5367 S3FIFO-0.5000-1.9000 cache size       24, 1019593 req, miss ratio 0.0371, byte miss ratio 0.0371
cdn1_allcolo.ns5367 S3FIFO-0.5000-1.9000 cache size       81, 1019593 req, miss ratio 0.0238, byte miss ratio 0.0238
cdn1_allcolo.ns5367 S3FIFO-0.5000-1.9000 cache size      245, 1019593 req, miss ratio 0.0170, byte miss ratio 0.0170
cdn1_allcolo.ns5367 S3FIFO-0.5000-1.9000 cache size      818, 1019593 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns5367 S3FIFO-0.5000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0099, byte miss ratio 0.0099
cdn1_allcolo.ns5367 S3FIFO-0.5000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn1_allcolo.ns5367 S3FIFO-0.5000-1.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.9500-0.9000 cache size        8, 1019593 req, miss ratio 0.0574, byte miss ratio 0.0574
