cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   497957, 210458880 req, miss ratio 0.1187, byte miss ratio 0.1187
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  1659859, 210458880 req, miss ratio 0.0982, byte miss ratio 0.0982
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  3319718, 210458880 req, miss ratio 0.0888, byte miss ratio 0.0888
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  6639437, 210458880 req, miss ratio 0.0824, byte miss ratio 0.0824
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    16598, 210458880 req, miss ratio 0.2355, byte miss ratio 0.2355
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    49795, 210458880 req, miss ratio 0.1889, byte miss ratio 0.1889
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   165985, 210458880 req, miss ratio 0.1475, byte miss ratio 0.1475
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   497957, 210458880 req, miss ratio 0.1192, byte miss ratio 0.1192
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0984, byte miss ratio 0.0984
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0889, byte miss ratio 0.0889
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0824, byte miss ratio 0.0824
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    16598, 210458880 req, miss ratio 0.2128, byte miss ratio 0.2128
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    49795, 210458880 req, miss ratio 0.1698, byte miss ratio 0.1698
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   165985, 210458880 req, miss ratio 0.1345, byte miss ratio 0.1345
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   497957, 210458880 req, miss ratio 0.1101, byte miss ratio 0.1101
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0911, byte miss ratio 0.0911
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0848, byte miss ratio 0.0848
