botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2053, byte miss ratio 0.2053
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2028, byte miss ratio 0.2028
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   192061, 958624046 req, miss ratio 0.2664, byte miss ratio 0.2664
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   576183, 958624046 req, miss ratio 0.2454, byte miss ratio 0.2454
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size  1920610, 958624046 req, miss ratio 0.2262, byte miss ratio 0.2262
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size  5761830, 958624046 req, miss ratio 0.2148, byte miss ratio 0.2148
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 19206102, 958624046 req, miss ratio 0.2073, byte miss ratio 0.2073
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 38412204, 958624046 req, miss ratio 0.2033, byte miss ratio 0.2033
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 76824409, 958624046 req, miss ratio 0.2023, byte miss ratio 0.2023
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   192061, 958624046 req, miss ratio 0.2688, byte miss ratio 0.2688
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   576183, 958624046 req, miss ratio 0.2478, byte miss ratio 0.2478
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2280, byte miss ratio 0.2280
