prn_1.IQI.bin S3FIFO-0.3000-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.3000-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.1500-0.9000 cache size     2173, 11233411 req, miss ratio 0.8113, byte miss ratio 0.8113
prn_1.IQI.bin S3FIFO-0.1500-0.9000 cache size     6520, 11233411 req, miss ratio 0.7586, byte miss ratio 0.7586
prn_1.IQI.bin S3FIFO-0.1500-0.9000 cache size    21735, 11233411 req, miss ratio 0.6948, byte miss ratio 0.6948
prn_1.IQI.bin S3FIFO-0.1500-0.9000 cache size    65207, 11233411 req, miss ratio 0.5621, byte miss ratio 0.5621
prn_1.IQI.bin S3FIFO-0.1500-0.9000 cache size   217357, 11233411 req, miss ratio 0.3976, byte miss ratio 0.3976
prn_1.IQI.bin S3FIFO-0.1500-0.9000 cache size   434715, 11233411 req, miss ratio 0.2554, byte miss ratio 0.2554
prn_1.IQI.bin S3FIFO-0.1500-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.1500-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.1000-0.9000 cache size     2173, 11233411 req, miss ratio 0.8179, byte miss ratio 0.8179
prn_1.IQI.bin S3FIFO-0.1000-0.9000 cache size     6520, 11233411 req, miss ratio 0.7655, byte miss ratio 0.7655
prn_1.IQI.bin S3FIFO-0.1000-0.9000 cache size    21735, 11233411 req, miss ratio 0.6975, byte miss ratio 0.6975
prn_1.IQI.bin S3FIFO-0.1000-0.9000 cache size    65207, 11233411 req, miss ratio 0.5571, byte miss ratio 0.5571
prn_1.IQI.bin S3FIFO-0.1000-0.9000 cache size   217357, 11233411 req, miss ratio 0.3920, byte miss ratio 0.3920
prn_1.IQI.bin S3FIFO-0.1000-0.9000 cache size   434715, 11233411 req, miss ratio 0.2459, byte miss ratio 0.2459
prn_1.IQI.bin S3FIFO-0.1000-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.1000-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.5000-0.9000 cache size     2173, 11233411 req, miss ratio 0.7918, byte miss ratio 0.7918
prn_1.IQI.bin S3FIFO-0.5000-0.9000 cache size     6520, 11233411 req, miss ratio 0.7478, byte miss ratio 0.7478
prn_1.IQI.bin S3FIFO-0.5000-0.9000 cache size    21735, 11233411 req, miss ratio 0.7002, byte miss ratio 0.7002
prn_1.IQI.bin S3FIFO-0.5000-0.9000 cache size    65207, 11233411 req, miss ratio 0.6101, byte miss ratio 0.6101
prn_1.IQI.bin S3FIFO-0.5000-0.9000 cache size   217357, 11233411 req, miss ratio 0.4132, byte miss ratio 0.4132
prn_1.IQI.bin S3FIFO-0.5000-0.9000 cache size   434715, 11233411 req, miss ratio 0.2986, byte miss ratio 0.2986
prn_1.IQI.bin S3FIFO-0.5000-0.9000 cache size   869430, 11233411 req, miss ratio 0.2123, byte miss ratio 0.2123
