tencentBlock.ns3027 S3FIFO-0.6500-1.9000 cache size   943504, 50848776 req, miss ratio 0.0700, byte miss ratio 0.0700
tencentBlock.ns3027 S3FIFO-0.6500-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0491, byte miss ratio 0.0491
tencentBlock.ns3027 S3FIFO-0.4500-1.9000 cache size     2358, 50848776 req, miss ratio 0.7572, byte miss ratio 0.7572
tencentBlock.ns3027 S3FIFO-0.4500-1.9000 cache size     7076, 50848776 req, miss ratio 0.6351, byte miss ratio 0.6351
tencentBlock.ns3027 S3FIFO-0.4500-1.9000 cache size    23587, 50848776 req, miss ratio 0.5162, byte miss ratio 0.5162
tencentBlock.ns3027 S3FIFO-0.4500-1.9000 cache size    70762, 50848776 req, miss ratio 0.4001, byte miss ratio 0.4001
tencentBlock.ns3027 S3FIFO-0.4500-1.9000 cache size   235876, 50848776 req, miss ratio 0.2069, byte miss ratio 0.2069
tencentBlock.ns3027 S3FIFO-0.4500-1.9000 cache size   471752, 50848776 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns3027 S3FIFO-0.4500-1.9000 cache size   943504, 50848776 req, miss ratio 0.0658, byte miss ratio 0.0658
tencentBlock.ns3027 S3FIFO-0.4500-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns3027 S3FIFO-0.8500-0.9000 cache size     2358, 50848776 req, miss ratio 0.7737, byte miss ratio 0.7737
tencentBlock.ns3027 S3FIFO-0.8500-0.9000 cache size     7076, 50848776 req, miss ratio 0.6563, byte miss ratio 0.6563
tencentBlock.ns3027 S3FIFO-0.8500-0.9000 cache size    23587, 50848776 req, miss ratio 0.5428, byte miss ratio 0.5428
tencentBlock.ns3027 S3FIFO-0.8500-0.9000 cache size    70762, 50848776 req, miss ratio 0.4189, byte miss ratio 0.4189
tencentBlock.ns3027 S3FIFO-0.8500-0.9000 cache size   235876, 50848776 req, miss ratio 0.2320, byte miss ratio 0.2320
tencentBlock.ns3027 S3FIFO-0.8500-0.9000 cache size   471752, 50848776 req, miss ratio 0.1400, byte miss ratio 0.1400
tencentBlock.ns3027 S3FIFO-0.8500-0.9000 cache size   943504, 50848776 req, miss ratio 0.0776, byte miss ratio 0.0776
tencentBlock.ns3027 S3FIFO-0.8500-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0513, byte miss ratio 0.0513
