io_traces.ns538 S3FIFO-0.0500-0.9000 cache size   607881, 14200000 req, miss ratio 0.5292, byte miss ratio 0.5292
io_traces.ns538 S3FIFO-0.0500-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4836, byte miss ratio 0.4836
io_traces.ns538 S3FIFO-0.0500-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.0500-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.8500-1.9000 cache size     6078, 14200000 req, miss ratio 0.9602, byte miss ratio 0.9602
io_traces.ns538 S3FIFO-0.8500-1.9000 cache size    18236, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns538 S3FIFO-0.8500-1.9000 cache size    60788, 14200000 req, miss ratio 0.9513, byte miss ratio 0.9513
io_traces.ns538 S3FIFO-0.8500-1.9000 cache size   182364, 14200000 req, miss ratio 0.8820, byte miss ratio 0.8820
io_traces.ns538 S3FIFO-0.8500-1.9000 cache size   607881, 14200000 req, miss ratio 0.6339, byte miss ratio 0.6339
io_traces.ns538 S3FIFO-0.8500-1.9000 cache size  1215762, 14200000 req, miss ratio 0.5376, byte miss ratio 0.5376
io_traces.ns538 S3FIFO-0.8500-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4720, byte miss ratio 0.4720
io_traces.ns538 S3FIFO-0.8500-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4313, byte miss ratio 0.4313
io_traces.ns538 S3FIFO-0.5000-1.9000 cache size     6078, 14200000 req, miss ratio 0.9547, byte miss ratio 0.9547
