tencentBlock.ns23479 S3FIFO-0.8500-0.9000 cache size      613, 12757218 req, miss ratio 0.0076, byte miss ratio 0.0076
tencentBlock.ns23479 S3FIFO-0.8500-0.9000 cache size     1227, 12757218 req, miss ratio 0.0058, byte miss ratio 0.0058
tencentBlock.ns23479 S3FIFO-0.8500-0.9000 cache size     2455, 12757218 req, miss ratio 0.0025, byte miss ratio 0.0025
tencentBlock.ns23479 S3FIFO-0.8000-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.8000-0.9000 cache size       30, 12757218 req, miss ratio 0.7329, byte miss ratio 0.7329
tencentBlock.ns23479 S3FIFO-0.8000-0.9000 cache size       92, 12757218 req, miss ratio 0.4898, byte miss ratio 0.4898
tencentBlock.ns23479 S3FIFO-0.8000-0.9000 cache size      306, 12757218 req, miss ratio 0.0205, byte miss ratio 0.0205
tencentBlock.ns23479 S3FIFO-0.8000-0.9000 cache size      613, 12757218 req, miss ratio 0.0074, byte miss ratio 0.0074
tencentBlock.ns23479 S3FIFO-0.8000-0.9000 cache size     1227, 12757218 req, miss ratio 0.0057, byte miss ratio 0.0057
tencentBlock.ns23479 S3FIFO-0.8000-0.9000 cache size     2455, 12757218 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23479 S3FIFO-0.4500-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.4500-0.9000 cache size       30, 12757218 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns23479 S3FIFO-0.4500-0.9000 cache size       92, 12757218 req, miss ratio 0.3871, byte miss ratio 0.3871
tencentBlock.ns23479 S3FIFO-0.4500-0.9000 cache size      306, 12757218 req, miss ratio 0.0183, byte miss ratio 0.0183
tencentBlock.ns23479 S3FIFO-0.4500-0.9000 cache size      613, 12757218 req, miss ratio 0.0068, byte miss ratio 0.0068
tencentBlock.ns23479 S3FIFO-0.4500-0.9000 cache size     1227, 12757218 req, miss ratio 0.0055, byte miss ratio 0.0055
tencentBlock.ns23479 S3FIFO-0.4500-0.9000 cache size     2455, 12757218 req, miss ratio 0.0020, byte miss ratio 0.0020
tencentBlock.ns23479 S3FIFO-0.7500-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.7500-1.9000 cache size       30, 12757218 req, miss ratio 0.7328, byte miss ratio 0.7328
tencentBlock.ns23479 S3FIFO-0.7500-1.9000 cache size       92, 12757218 req, miss ratio 0.4969, byte miss ratio 0.4969
tencentBlock.ns23479 S3FIFO-0.7500-1.9000 cache size      306, 12757218 req, miss ratio 0.0202, byte miss ratio 0.0202
tencentBlock.ns23479 S3FIFO-0.7500-1.9000 cache size      613, 12757218 req, miss ratio 0.0073, byte miss ratio 0.0073
tencentBlock.ns23479 S3FIFO-0.7500-1.9000 cache size     1227, 12757218 req, miss ratio 0.0056, byte miss ratio 0.0056
tencentBlock.ns23479 S3FIFO-0.7500-1.9000 cache size     2455, 12757218 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23479 S3FIFO-0.0100-0.9000 cache size        9, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
