cdn1_colo28.ns975 S3FIFO-0.2000-0.9000 cache size      328, 2315384 req, miss ratio 0.3433, byte miss ratio 0.3433
cdn1_colo28.ns975 S3FIFO-0.2000-0.9000 cache size      986, 2315384 req, miss ratio 0.2308, byte miss ratio 0.2308
cdn1_colo28.ns975 S3FIFO-0.2000-0.9000 cache size     3289, 2315384 req, miss ratio 0.0996, byte miss ratio 0.0996
cdn1_colo28.ns975 S3FIFO-0.2000-0.9000 cache size     6578, 2315384 req, miss ratio 0.0540, byte miss ratio 0.0540
cdn1_colo28.ns975 S3FIFO-0.2000-0.9000 cache size    13156, 2315384 req, miss ratio 0.0270, byte miss ratio 0.0270
cdn1_colo28.ns975 S3FIFO-0.2000-0.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.0250-0.9000 cache size       32, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0250-0.9000 cache size       98, 2315384 req, miss ratio 0.4203, byte miss ratio 0.4203
cdn1_colo28.ns975 S3FIFO-0.0250-0.9000 cache size      328, 2315384 req, miss ratio 0.3316, byte miss ratio 0.3316
cdn1_colo28.ns975 S3FIFO-0.0250-0.9000 cache size      986, 2315384 req, miss ratio 0.2171, byte miss ratio 0.2171
cdn1_colo28.ns975 S3FIFO-0.0250-0.9000 cache size     3289, 2315384 req, miss ratio 0.0901, byte miss ratio 0.0901
cdn1_colo28.ns975 S3FIFO-0.0250-0.9000 cache size     6578, 2315384 req, miss ratio 0.0498, byte miss ratio 0.0498
cdn1_colo28.ns975 S3FIFO-0.0250-0.9000 cache size    13156, 2315384 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_colo28.ns975 S3FIFO-0.0250-0.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.7500-1.9000 cache size       32, 2315384 req, miss ratio 0.6585, byte miss ratio 0.6585
cdn1_colo28.ns975 S3FIFO-0.7500-1.9000 cache size       98, 2315384 req, miss ratio 0.4891, byte miss ratio 0.4891
cdn1_colo28.ns975 S3FIFO-0.7500-1.9000 cache size      328, 2315384 req, miss ratio 0.3973, byte miss ratio 0.3973
cdn1_colo28.ns975 S3FIFO-0.7500-1.9000 cache size      986, 2315384 req, miss ratio 0.2848, byte miss ratio 0.2848
cdn1_colo28.ns975 S3FIFO-0.7500-1.9000 cache size     3289, 2315384 req, miss ratio 0.1338, byte miss ratio 0.1338
cdn1_colo28.ns975 S3FIFO-0.7500-1.9000 cache size     6578, 2315384 req, miss ratio 0.0714, byte miss ratio 0.0714
cdn1_colo28.ns975 S3FIFO-0.7500-1.9000 cache size    13156, 2315384 req, miss ratio 0.0350, byte miss ratio 0.0350
cdn1_colo28.ns975 S3FIFO-0.7500-1.9000 cache size    26313, 2315384 req, miss ratio 0.0169, byte miss ratio 0.0169
cdn1_colo28.ns975 S3FIFO-0.9000-0.9000 cache size       32, 2315384 req, miss ratio 0.6971, byte miss ratio 0.6971
cdn1_colo28.ns975 S3FIFO-0.9000-0.9000 cache size       98, 2315384 req, miss ratio 0.5315, byte miss ratio 0.5315
cdn1_colo28.ns975 S3FIFO-0.9000-0.9000 cache size      328, 2315384 req, miss ratio 0.4115, byte miss ratio 0.4115
cdn1_colo28.ns975 S3FIFO-0.9000-0.9000 cache size      986, 2315384 req, miss ratio 0.2990, byte miss ratio 0.2990
cdn1_colo28.ns975 S3FIFO-0.9000-0.9000 cache size     3289, 2315384 req, miss ratio 0.1474, byte miss ratio 0.1474
cdn1_colo28.ns975 S3FIFO-0.9000-0.9000 cache size     6578, 2315384 req, miss ratio 0.0797, byte miss ratio 0.0797
cdn1_colo28.ns975 S3FIFO-0.9000-0.9000 cache size    13156, 2315384 req, miss ratio 0.0385, byte miss ratio 0.0385
