guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.4000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.3000 cache size     1359, 15433112 req, miss ratio 0.4390, byte miss ratio 0.4390
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.3000 cache size     4077, 15433112 req, miss ratio 0.2692, byte miss ratio 0.2692
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.3000 cache size    13592, 15433112 req, miss ratio 0.1867, byte miss ratio 0.1867
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.3000 cache size    40777, 15433112 req, miss ratio 0.1364, byte miss ratio 0.1364
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.3000 cache size   135924, 15433112 req, miss ratio 0.1056, byte miss ratio 0.1056
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.3000 cache size   271848, 15433112 req, miss ratio 0.0984, byte miss ratio 0.0984
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.3000 cache size   543696, 15433112 req, miss ratio 0.0925, byte miss ratio 0.0925
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.3000 cache size  1087392, 15433112 req, miss ratio 0.0885, byte miss ratio 0.0885
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size     1359, 15433112 req, miss ratio 0.3714, byte miss ratio 0.3714
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size     4077, 15433112 req, miss ratio 0.2111, byte miss ratio 0.2111
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size    13592, 15433112 req, miss ratio 0.1371, byte miss ratio 0.1371
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size    40777, 15433112 req, miss ratio 0.1061, byte miss ratio 0.1061
