query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size     7437, 63962758 req, miss ratio 0.2028, byte miss ratio 0.2028
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    22312, 63962758 req, miss ratio 0.1375, byte miss ratio 0.1375
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    74374, 63962758 req, miss ratio 0.0607, byte miss ratio 0.0607
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   148748, 63962758 req, miss ratio 0.0401, byte miss ratio 0.0401
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   297497, 63962758 req, miss ratio 0.0209, byte miss ratio 0.0209
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   594994, 63962758 req, miss ratio 0.0129, byte miss ratio 0.0129
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size      743, 63962758 req, miss ratio 0.3570, byte miss ratio 0.3570
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     2231, 63962758 req, miss ratio 0.1873, byte miss ratio 0.1873
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     7437, 63962758 req, miss ratio 0.1171, byte miss ratio 0.1171
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    22312, 63962758 req, miss ratio 0.0845, byte miss ratio 0.0845
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    74374, 63962758 req, miss ratio 0.0574, byte miss ratio 0.0574
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   148748, 63962758 req, miss ratio 0.0421, byte miss ratio 0.0421
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   297497, 63962758 req, miss ratio 0.0245, byte miss ratio 0.0245
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   594994, 63962758 req, miss ratio 0.0131, byte miss ratio 0.0131
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size      743, 63962758 req, miss ratio 0.3351, byte miss ratio 0.3351
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     2231, 63962758 req, miss ratio 0.2103, byte miss ratio 0.2103
