tencentBlock.ns9296 S3FIFO-0.0010-1.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.1500-0.9000 cache size      674, 4957575 req, miss ratio 0.4883, byte miss ratio 0.4883
tencentBlock.ns9296 S3FIFO-0.1500-0.9000 cache size     2023, 4957575 req, miss ratio 0.3478, byte miss ratio 0.3478
tencentBlock.ns9296 S3FIFO-0.1500-0.9000 cache size     6745, 4957575 req, miss ratio 0.3282, byte miss ratio 0.3282
tencentBlock.ns9296 S3FIFO-0.1500-0.9000 cache size    20237, 4957575 req, miss ratio 0.2888, byte miss ratio 0.2888
tencentBlock.ns9296 S3FIFO-0.1500-0.9000 cache size    67459, 4957575 req, miss ratio 0.2411, byte miss ratio 0.2411
tencentBlock.ns9296 S3FIFO-0.1500-0.9000 cache size   134919, 4957575 req, miss ratio 0.1883, byte miss ratio 0.1883
tencentBlock.ns9296 S3FIFO-0.1500-0.9000 cache size   269838, 4957575 req, miss ratio 0.1540, byte miss ratio 0.1540
tencentBlock.ns9296 S3FIFO-0.1500-0.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.9900-1.9000 cache size      674, 4957575 req, miss ratio 0.5744, byte miss ratio 0.5744
tencentBlock.ns9296 S3FIFO-0.9900-1.9000 cache size     2023, 4957575 req, miss ratio 0.4612, byte miss ratio 0.4612
tencentBlock.ns9296 S3FIFO-0.9900-1.9000 cache size     6745, 4957575 req, miss ratio 0.3679, byte miss ratio 0.3679
tencentBlock.ns9296 S3FIFO-0.9900-1.9000 cache size    20237, 4957575 req, miss ratio 0.3111, byte miss ratio 0.3111
tencentBlock.ns9296 S3FIFO-0.9900-1.9000 cache size    67459, 4957575 req, miss ratio 0.2404, byte miss ratio 0.2404
tencentBlock.ns9296 S3FIFO-0.9900-1.9000 cache size   134919, 4957575 req, miss ratio 0.1961, byte miss ratio 0.1961
tencentBlock.ns9296 S3FIFO-0.9900-1.9000 cache size   269838, 4957575 req, miss ratio 0.1614, byte miss ratio 0.1614
tencentBlock.ns9296 S3FIFO-0.9900-1.9000 cache size   539677, 4957575 req, miss ratio 0.1453, byte miss ratio 0.1453
tencentBlock.ns9296 S3FIFO-0.3500-0.9000 cache size      674, 4957575 req, miss ratio 0.4948, byte miss ratio 0.4948
tencentBlock.ns9296 S3FIFO-0.3500-0.9000 cache size     2023, 4957575 req, miss ratio 0.3575, byte miss ratio 0.3575
tencentBlock.ns9296 S3FIFO-0.3500-0.9000 cache size     6745, 4957575 req, miss ratio 0.3283, byte miss ratio 0.3283
tencentBlock.ns9296 S3FIFO-0.3500-0.9000 cache size    20237, 4957575 req, miss ratio 0.2890, byte miss ratio 0.2890
tencentBlock.ns9296 S3FIFO-0.3500-0.9000 cache size    67459, 4957575 req, miss ratio 0.2375, byte miss ratio 0.2375
tencentBlock.ns9296 S3FIFO-0.3500-0.9000 cache size   134919, 4957575 req, miss ratio 0.1888, byte miss ratio 0.1888
