index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  8256124, 235444220 req, miss ratio 0.0444, byte miss ratio 0.0444
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    10320, 235444220 req, miss ratio 0.2285, byte miss ratio 0.2285
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    30960, 235444220 req, miss ratio 0.1662, byte miss ratio 0.1662
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   103201, 235444220 req, miss ratio 0.1134, byte miss ratio 0.1134
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   309604, 235444220 req, miss ratio 0.0809, byte miss ratio 0.0809
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  1032015, 235444220 req, miss ratio 0.0597, byte miss ratio 0.0597
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  2064031, 235444220 req, miss ratio 0.0520, byte miss ratio 0.0520
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  4128062, 235444220 req, miss ratio 0.0474, byte miss ratio 0.0474
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  8256124, 235444220 req, miss ratio 0.0446, byte miss ratio 0.0446
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    10320, 235444220 req, miss ratio 0.2068, byte miss ratio 0.2068
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    30960, 235444220 req, miss ratio 0.1484, byte miss ratio 0.1484
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   103201, 235444220 req, miss ratio 0.0997, byte miss ratio 0.0997
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   309604, 235444220 req, miss ratio 0.0718, byte miss ratio 0.0718
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  1032015, 235444220 req, miss ratio 0.0547, byte miss ratio 0.0547
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  2064031, 235444220 req, miss ratio 0.0489, byte miss ratio 0.0489
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  4128062, 235444220 req, miss ratio 0.0460, byte miss ratio 0.0460
