ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     1753, 311690077 req, miss ratio 0.3211, byte miss ratio 0.3211
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     5260, 311690077 req, miss ratio 0.2525, byte miss ratio 0.2525
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    17535, 311690077 req, miss ratio 0.1745, byte miss ratio 0.1745
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    52605, 311690077 req, miss ratio 0.1135, byte miss ratio 0.1135
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   175351, 311690077 req, miss ratio 0.0684, byte miss ratio 0.0684
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   350702, 311690077 req, miss ratio 0.0524, byte miss ratio 0.0524
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   701404, 311690077 req, miss ratio 0.0216, byte miss ratio 0.0216
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0068, byte miss ratio 0.0068
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size     1753, 311690077 req, miss ratio 0.3287, byte miss ratio 0.3287
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size     5260, 311690077 req, miss ratio 0.2620, byte miss ratio 0.2620
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    17535, 311690077 req, miss ratio 0.1840, byte miss ratio 0.1840
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    52605, 311690077 req, miss ratio 0.1214, byte miss ratio 0.1214
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   175351, 311690077 req, miss ratio 0.0736, byte miss ratio 0.0736
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   350702, 311690077 req, miss ratio 0.0561, byte miss ratio 0.0561
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   701404, 311690077 req, miss ratio 0.0240, byte miss ratio 0.0240
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0076, byte miss ratio 0.0076
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     1753, 311690077 req, miss ratio 0.3328, byte miss ratio 0.3328
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     5260, 311690077 req, miss ratio 0.2694, byte miss ratio 0.2694
