geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   259542, 924495397 req, miss ratio 0.0310, byte miss ratio 0.0310
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   519085, 924495397 req, miss ratio 0.0087, byte miss ratio 0.0087
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  1038171, 924495397 req, miss ratio 0.0018, byte miss ratio 0.0018
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     1297, 924495397 req, miss ratio 0.3467, byte miss ratio 0.3467
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     3893, 924495397 req, miss ratio 0.2093, byte miss ratio 0.2093
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    12977, 924495397 req, miss ratio 0.1262, byte miss ratio 0.1262
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    38931, 924495397 req, miss ratio 0.0793, byte miss ratio 0.0793
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   129771, 924495397 req, miss ratio 0.0525, byte miss ratio 0.0525
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   259542, 924495397 req, miss ratio 0.0305, byte miss ratio 0.0305
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   519085, 924495397 req, miss ratio 0.0076, byte miss ratio 0.0076
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     1297, 924495397 req, miss ratio 0.3950, byte miss ratio 0.3950
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     3893, 924495397 req, miss ratio 0.2581, byte miss ratio 0.2581
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    12977, 924495397 req, miss ratio 0.1570, byte miss ratio 0.1570
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    38931, 924495397 req, miss ratio 0.0957, byte miss ratio 0.0957
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   129771, 924495397 req, miss ratio 0.0591, byte miss ratio 0.0591
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   259542, 924495397 req, miss ratio 0.0327, byte miss ratio 0.0327
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   519085, 924495397 req, miss ratio 0.0115, byte miss ratio 0.0115
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0022, byte miss ratio 0.0022
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     1297, 924495397 req, miss ratio 0.3735, byte miss ratio 0.3735
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     3893, 924495397 req, miss ratio 0.2331, byte miss ratio 0.2331
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    12977, 924495397 req, miss ratio 0.1422, byte miss ratio 0.1422
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    38931, 924495397 req, miss ratio 0.0867, byte miss ratio 0.0867
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   129771, 924495397 req, miss ratio 0.0567, byte miss ratio 0.0567
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   259542, 924495397 req, miss ratio 0.0317, byte miss ratio 0.0317
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   519085, 924495397 req, miss ratio 0.0097, byte miss ratio 0.0097
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  1038171, 924495397 req, miss ratio 0.0019, byte miss ratio 0.0019
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     1297, 924495397 req, miss ratio 0.3458, byte miss ratio 0.3458
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     3893, 924495397 req, miss ratio 0.2061, byte miss ratio 0.2061
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    12977, 924495397 req, miss ratio 0.1223, byte miss ratio 0.1223
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    38931, 924495397 req, miss ratio 0.0784, byte miss ratio 0.0784
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   129771, 924495397 req, miss ratio 0.0510, byte miss ratio 0.0510
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   259542, 924495397 req, miss ratio 0.0277, byte miss ratio 0.0277
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   519085, 924495397 req, miss ratio 0.0071, byte miss ratio 0.0071
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     1297, 924495397 req, miss ratio 0.3827, byte miss ratio 0.3827
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     3893, 924495397 req, miss ratio 0.2429, byte miss ratio 0.2429
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    12977, 924495397 req, miss ratio 0.1477, byte miss ratio 0.1477
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    38931, 924495397 req, miss ratio 0.0898, byte miss ratio 0.0898
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   129771, 924495397 req, miss ratio 0.0575, byte miss ratio 0.0575
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   259542, 924495397 req, miss ratio 0.0322, byte miss ratio 0.0322
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   519085, 924495397 req, miss ratio 0.0105, byte miss ratio 0.0105
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0020, byte miss ratio 0.0020
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size     1297, 924495397 req, miss ratio 0.3693, byte miss ratio 0.3693
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size     3893, 924495397 req, miss ratio 0.2289, byte miss ratio 0.2289
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    12977, 924495397 req, miss ratio 0.1397, byte miss ratio 0.1397
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    38931, 924495397 req, miss ratio 0.0853, byte miss ratio 0.0853
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   129771, 924495397 req, miss ratio 0.0562, byte miss ratio 0.0562
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   259542, 924495397 req, miss ratio 0.0315, byte miss ratio 0.0315
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   519085, 924495397 req, miss ratio 0.0093, byte miss ratio 0.0093
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  1038171, 924495397 req, miss ratio 0.0019, byte miss ratio 0.0019
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size     1297, 924495397 req, miss ratio 0.3488, byte miss ratio 0.3488
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size     3893, 924495397 req, miss ratio 0.2077, byte miss ratio 0.2077
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    12977, 924495397 req, miss ratio 0.1216, byte miss ratio 0.1216
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    38931, 924495397 req, miss ratio 0.0778, byte miss ratio 0.0778
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   129771, 924495397 req, miss ratio 0.0505, byte miss ratio 0.0505
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   259542, 924495397 req, miss ratio 0.0268, byte miss ratio 0.0268
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   519085, 924495397 req, miss ratio 0.0071, byte miss ratio 0.0071
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     1297, 924495397 req, miss ratio 0.3866, byte miss ratio 0.3866
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     3893, 924495397 req, miss ratio 0.2479, byte miss ratio 0.2479
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    12977, 924495397 req, miss ratio 0.1506, byte miss ratio 0.1506
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    38931, 924495397 req, miss ratio 0.0916, byte miss ratio 0.0916
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   129771, 924495397 req, miss ratio 0.0580, byte miss ratio 0.0580
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   259542, 924495397 req, miss ratio 0.0324, byte miss ratio 0.0324
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   519085, 924495397 req, miss ratio 0.0108, byte miss ratio 0.0108
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0021, byte miss ratio 0.0021
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     1297, 924495397 req, miss ratio 0.3505, byte miss ratio 0.3505
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     3893, 924495397 req, miss ratio 0.2126, byte miss ratio 0.2126
