cdn1_allcolo.ns3642 S3FIFO-0.1000-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.1000-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.9900-0.9000 cache size      371, 1620818 req, miss ratio 0.3719, byte miss ratio 0.3719
cdn1_allcolo.ns3642 S3FIFO-0.9900-0.9000 cache size     1114, 1620818 req, miss ratio 0.3028, byte miss ratio 0.3028
cdn1_allcolo.ns3642 S3FIFO-0.9900-0.9000 cache size     3714, 1620818 req, miss ratio 0.2611, byte miss ratio 0.2611
cdn1_allcolo.ns3642 S3FIFO-0.9900-0.9000 cache size    11144, 1620818 req, miss ratio 0.2421, byte miss ratio 0.2421
cdn1_allcolo.ns3642 S3FIFO-0.9900-0.9000 cache size    37149, 1620818 req, miss ratio 0.2328, byte miss ratio 0.2328
cdn1_allcolo.ns3642 S3FIFO-0.9900-0.9000 cache size    74298, 1620818 req, miss ratio 0.2304, byte miss ratio 0.2304
cdn1_allcolo.ns3642 S3FIFO-0.9900-0.9000 cache size   148596, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.9900-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
