observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     1114, 14338243 req, miss ratio 0.0960, byte miss ratio 0.0960
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     3344, 14338243 req, miss ratio 0.0791, byte miss ratio 0.0791
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    11149, 14338243 req, miss ratio 0.0784, byte miss ratio 0.0784
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    33447, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size     1114, 14338243 req, miss ratio 0.1734, byte miss ratio 0.1734
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size     3344, 14338243 req, miss ratio 0.1050, byte miss ratio 0.1050
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    11149, 14338243 req, miss ratio 0.0948, byte miss ratio 0.0948
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    33447, 14338243 req, miss ratio 0.0914, byte miss ratio 0.0914
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   111491, 14338243 req, miss ratio 0.0832, byte miss ratio 0.0832
