cdn1_allcolo.ns2378 S3FIFO-0.4000-1.9000 cache size     1177, 4253977 req, miss ratio 0.4096, byte miss ratio 0.4096
cdn1_allcolo.ns2378 S3FIFO-0.4000-1.9000 cache size     3532, 4253977 req, miss ratio 0.3772, byte miss ratio 0.3772
cdn1_allcolo.ns2378 S3FIFO-0.4000-1.9000 cache size    11775, 4253977 req, miss ratio 0.3478, byte miss ratio 0.3478
cdn1_allcolo.ns2378 S3FIFO-0.4000-1.9000 cache size    35325, 4253977 req, miss ratio 0.3225, byte miss ratio 0.3225
cdn1_allcolo.ns2378 S3FIFO-0.4000-1.9000 cache size   117751, 4253977 req, miss ratio 0.2969, byte miss ratio 0.2969
cdn1_allcolo.ns2378 S3FIFO-0.4000-1.9000 cache size   235503, 4253977 req, miss ratio 0.2869, byte miss ratio 0.2869
cdn1_allcolo.ns2378 S3FIFO-0.4000-1.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.4000-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.9000-1.9000 cache size     1177, 4253977 req, miss ratio 0.4356, byte miss ratio 0.4356
cdn1_allcolo.ns2378 S3FIFO-0.9000-1.9000 cache size     3532, 4253977 req, miss ratio 0.3976, byte miss ratio 0.3976
cdn1_allcolo.ns2378 S3FIFO-0.9000-1.9000 cache size    11775, 4253977 req, miss ratio 0.3652, byte miss ratio 0.3652
cdn1_allcolo.ns2378 S3FIFO-0.9000-1.9000 cache size    35325, 4253977 req, miss ratio 0.3394, byte miss ratio 0.3394
cdn1_allcolo.ns2378 S3FIFO-0.9000-1.9000 cache size   117751, 4253977 req, miss ratio 0.3126, byte miss ratio 0.3126
cdn1_allcolo.ns2378 S3FIFO-0.9000-1.9000 cache size   235503, 4253977 req, miss ratio 0.2965, byte miss ratio 0.2965
cdn1_allcolo.ns2378 S3FIFO-0.9000-1.9000 cache size   471007, 4253977 req, miss ratio 0.2845, byte miss ratio 0.2845
cdn1_allcolo.ns2378 S3FIFO-0.9000-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.0100-1.9000 cache size     1177, 4253977 req, miss ratio 0.4273, byte miss ratio 0.4273
cdn1_allcolo.ns2378 S3FIFO-0.0100-1.9000 cache size     3532, 4253977 req, miss ratio 0.3929, byte miss ratio 0.3929
cdn1_allcolo.ns2378 S3FIFO-0.0100-1.9000 cache size    11775, 4253977 req, miss ratio 0.3571, byte miss ratio 0.3571
cdn1_allcolo.ns2378 S3FIFO-0.0100-1.9000 cache size    35325, 4253977 req, miss ratio 0.3257, byte miss ratio 0.3257
cdn1_allcolo.ns2378 S3FIFO-0.0100-1.9000 cache size   117751, 4253977 req, miss ratio 0.2985, byte miss ratio 0.2985
cdn1_allcolo.ns2378 S3FIFO-0.0100-1.9000 cache size   235503, 4253977 req, miss ratio 0.2879, byte miss ratio 0.2879
cdn1_allcolo.ns2378 S3FIFO-0.0100-1.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.0100-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.8000-1.9000 cache size     1177, 4253977 req, miss ratio 0.4257, byte miss ratio 0.4257
cdn1_allcolo.ns2378 S3FIFO-0.8000-1.9000 cache size     3532, 4253977 req, miss ratio 0.3904, byte miss ratio 0.3904
cdn1_allcolo.ns2378 S3FIFO-0.8000-1.9000 cache size    11775, 4253977 req, miss ratio 0.3592, byte miss ratio 0.3592
cdn1_allcolo.ns2378 S3FIFO-0.8000-1.9000 cache size    35325, 4253977 req, miss ratio 0.3341, byte miss ratio 0.3341
cdn1_allcolo.ns2378 S3FIFO-0.8000-1.9000 cache size   117751, 4253977 req, miss ratio 0.3073, byte miss ratio 0.3073
cdn1_allcolo.ns2378 S3FIFO-0.8000-1.9000 cache size   235503, 4253977 req, miss ratio 0.2924, byte miss ratio 0.2924
cdn1_allcolo.ns2378 S3FIFO-0.8000-1.9000 cache size   471007, 4253977 req, miss ratio 0.2820, byte miss ratio 0.2820
cdn1_allcolo.ns2378 S3FIFO-0.8000-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.8000-0.9000 cache size     1177, 4253977 req, miss ratio 0.4249, byte miss ratio 0.4249
cdn1_allcolo.ns2378 S3FIFO-0.8000-0.9000 cache size     3532, 4253977 req, miss ratio 0.3899, byte miss ratio 0.3899
