result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      370, 1232453 req, miss ratio 0.8942, byte miss ratio 0.8942
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1111, 1232453 req, miss ratio 0.8796, byte miss ratio 0.8796
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3705, 1232453 req, miss ratio 0.8162, byte miss ratio 0.8162
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    11117, 1232453 req, miss ratio 0.7317, byte miss ratio 0.7317
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    37059, 1232453 req, miss ratio 0.5955, byte miss ratio 0.5955
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    74118, 1232453 req, miss ratio 0.5231, byte miss ratio 0.5231
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   148237, 1232453 req, miss ratio 0.4165, byte miss ratio 0.4165
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   296474, 1232453 req, miss ratio 0.3156, byte miss ratio 0.3156
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      370, 1232453 req, miss ratio 0.8690, byte miss ratio 0.8690
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1111, 1232453 req, miss ratio 0.8477, byte miss ratio 0.8477
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3705, 1232453 req, miss ratio 0.8016, byte miss ratio 0.8016
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    11117, 1232453 req, miss ratio 0.7050, byte miss ratio 0.7050
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    37059, 1232453 req, miss ratio 0.5668, byte miss ratio 0.5668
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    74118, 1232453 req, miss ratio 0.5077, byte miss ratio 0.5077
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   148237, 1232453 req, miss ratio 0.3998, byte miss ratio 0.3998
result/cdn1_sjc.ns764.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   296474, 1232453 req, miss ratio 0.3219, byte miss ratio 0.3219
