result/cdn1_nyc.ns113.oracleGeneral.bin.zst TwoQ cache size    35223, 2066009 req, miss ratio 0.1675, byte miss ratio 0.1675
result/cdn1_nyc.ns113.oracleGeneral.bin.zst TwoQ cache size    70447, 2066009 req, miss ratio 0.1316, byte miss ratio 0.1316
result/cdn1_nyc.ns113.oracleGeneral.bin.zst TwoQ cache size   140894, 2066009 req, miss ratio 0.0960, byte miss ratio 0.0960
result/cdn1_nyc.ns113.oracleGeneral.bin.zst B-LRU cache size      176, 2066009 req, miss ratio 0.6610, byte miss ratio 0.6610
result/cdn1_nyc.ns113.oracleGeneral.bin.zst B-LRU cache size      528, 2066009 req, miss ratio 0.5076, byte miss ratio 0.5076
result/cdn1_nyc.ns113.oracleGeneral.bin.zst B-LRU cache size     1761, 2066009 req, miss ratio 0.3816, byte miss ratio 0.3816
result/cdn1_nyc.ns113.oracleGeneral.bin.zst B-LRU cache size     5283, 2066009 req, miss ratio 0.2880, byte miss ratio 0.2880
result/cdn1_nyc.ns113.oracleGeneral.bin.zst B-LRU cache size    17611, 2066009 req, miss ratio 0.2214, byte miss ratio 0.2214
result/cdn1_nyc.ns113.oracleGeneral.bin.zst B-LRU cache size    35223, 2066009 req, miss ratio 0.1841, byte miss ratio 0.1841
result/cdn1_nyc.ns113.oracleGeneral.bin.zst B-LRU cache size    70447, 2066009 req, miss ratio 0.1475, byte miss ratio 0.1475
result/cdn1_nyc.ns113.oracleGeneral.bin.zst B-LRU cache size   140894, 2066009 req, miss ratio 0.1371, byte miss ratio 0.1371
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      176, 2066009 req, miss ratio 0.5632, byte miss ratio 0.5632
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      528, 2066009 req, miss ratio 0.4481, byte miss ratio 0.4481
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1761, 2066009 req, miss ratio 0.3441, byte miss ratio 0.3441
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     5283, 2066009 req, miss ratio 0.2652, byte miss ratio 0.2652
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    17611, 2066009 req, miss ratio 0.2013, byte miss ratio 0.2013
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    35223, 2066009 req, miss ratio 0.1631, byte miss ratio 0.1631
