result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst B-LRU cache size   330440, 14409991 req, miss ratio 0.2376, byte miss ratio 0.2376
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst B-LRU cache size   660881, 14409991 req, miss ratio 0.2322, byte miss ratio 0.2322
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1321762, 14409991 req, miss ratio 0.2295, byte miss ratio 0.2295
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1652, 14409991 req, miss ratio 0.3961, byte miss ratio 0.3961
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     4956, 14409991 req, miss ratio 0.2125, byte miss ratio 0.2125
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    16522, 14409991 req, miss ratio 0.1781, byte miss ratio 0.1781
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    49566, 14409991 req, miss ratio 0.1531, byte miss ratio 0.1531
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   165220, 14409991 req, miss ratio 0.1324, byte miss ratio 0.1324
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   330440, 14409991 req, miss ratio 0.1235, byte miss ratio 0.1235
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   660881, 14409991 req, miss ratio 0.1178, byte miss ratio 0.1178
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1321762, 14409991 req, miss ratio 0.1150, byte miss ratio 0.1150
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     1652, 14409991 req, miss ratio 0.2545, byte miss ratio 0.2545
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     4956, 14409991 req, miss ratio 0.2057, byte miss ratio 0.2057
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    16522, 14409991 req, miss ratio 0.1712, byte miss ratio 0.1712
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    49566, 14409991 req, miss ratio 0.1481, byte miss ratio 0.1481
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   165220, 14409991 req, miss ratio 0.1296, byte miss ratio 0.1296
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   330440, 14409991 req, miss ratio 0.1224, byte miss ratio 0.1224
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   660881, 14409991 req, miss ratio 0.1186, byte miss ratio 0.1186
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1321762, 14409991 req, miss ratio 0.1155, byte miss ratio 0.1155
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     1652, 14409991 req, miss ratio 0.4867, byte miss ratio 0.4867
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     4956, 14409991 req, miss ratio 0.2110, byte miss ratio 0.2110
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    16522, 14409991 req, miss ratio 0.1710, byte miss ratio 0.1710
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    49566, 14409991 req, miss ratio 0.1476, byte miss ratio 0.1476
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   165220, 14409991 req, miss ratio 0.1291, byte miss ratio 0.1291
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   330440, 14409991 req, miss ratio 0.1223, byte miss ratio 0.1223
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   660881, 14409991 req, miss ratio 0.1186, byte miss ratio 0.1186
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1321762, 14409991 req, miss ratio 0.1155, byte miss ratio 0.1155
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1652, 14409991 req, miss ratio 0.4164, byte miss ratio 0.4164
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     4956, 14409991 req, miss ratio 0.3651, byte miss ratio 0.3651
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    16522, 14409991 req, miss ratio 0.3206, byte miss ratio 0.3206
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    49566, 14409991 req, miss ratio 0.2257, byte miss ratio 0.2257
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   165220, 14409991 req, miss ratio 0.1488, byte miss ratio 0.1488
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   330440, 14409991 req, miss ratio 0.1386, byte miss ratio 0.1386
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   660881, 14409991 req, miss ratio 0.1286, byte miss ratio 0.1286
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1321762, 14409991 req, miss ratio 0.1181, byte miss ratio 0.1181
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1652, 14409991 req, miss ratio 0.4183, byte miss ratio 0.4183
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     4956, 14409991 req, miss ratio 0.3514, byte miss ratio 0.3514
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    16522, 14409991 req, miss ratio 0.1963, byte miss ratio 0.1963
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    49566, 14409991 req, miss ratio 0.1649, byte miss ratio 0.1649
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   165220, 14409991 req, miss ratio 0.1406, byte miss ratio 0.1406
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   330440, 14409991 req, miss ratio 0.1316, byte miss ratio 0.1316
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   660881, 14409991 req, miss ratio 0.1241, byte miss ratio 0.1241
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1321762, 14409991 req, miss ratio 0.1164, byte miss ratio 0.1164
