result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       21, 1724371 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       70, 1724371 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      212, 1724371 req, miss ratio 0.0537, byte miss ratio 0.0537
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      708, 1724371 req, miss ratio 0.0257, byte miss ratio 0.0257
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1416, 1724371 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2832, 1724371 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        7, 1724371 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       21, 1724371 req, miss ratio 0.1338, byte miss ratio 0.1338
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       70, 1724371 req, miss ratio 0.0855, byte miss ratio 0.0855
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      212, 1724371 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      708, 1724371 req, miss ratio 0.0229, byte miss ratio 0.0229
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1416, 1724371 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2832, 1724371 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5664, 1724371 req, miss ratio 0.0045, byte miss ratio 0.0045
