result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      362, 3509388 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1087, 3509388 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3625, 3509388 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7250, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14501, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29002, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       36, 3509388 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      108, 3509388 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      362, 3509388 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1087, 3509388 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3625, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14501, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29002, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
