result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    68839, 58463439 req, miss ratio 0.0565, byte miss ratio 0.0565
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   137678, 58463439 req, miss ratio 0.0409, byte miss ratio 0.0409
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   275356, 58463439 req, miss ratio 0.0224, byte miss ratio 0.0224
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   550712, 58463439 req, miss ratio 0.0124, byte miss ratio 0.0124
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst TwoQ cache size      688, 58463439 req, miss ratio 0.4749, byte miss ratio 0.4749
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst TwoQ cache size     2065, 58463439 req, miss ratio 0.2025, byte miss ratio 0.2025
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst TwoQ cache size     6883, 58463439 req, miss ratio 0.1319, byte miss ratio 0.1319
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst TwoQ cache size    20651, 58463439 req, miss ratio 0.0910, byte miss ratio 0.0910
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst TwoQ cache size    68839, 58463439 req, miss ratio 0.0571, byte miss ratio 0.0571
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst TwoQ cache size   137678, 58463439 req, miss ratio 0.0377, byte miss ratio 0.0377
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst TwoQ cache size   275356, 58463439 req, miss ratio 0.0227, byte miss ratio 0.0227
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst TwoQ cache size   550712, 58463439 req, miss ratio 0.0150, byte miss ratio 0.0150
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO cache size      688, 58463439 req, miss ratio 0.4806, byte miss ratio 0.4806
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     2065, 58463439 req, miss ratio 0.2428, byte miss ratio 0.2428
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     6883, 58463439 req, miss ratio 0.1248, byte miss ratio 0.1248
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    20651, 58463439 req, miss ratio 0.0869, byte miss ratio 0.0869
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    68839, 58463439 req, miss ratio 0.0566, byte miss ratio 0.0566
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   137678, 58463439 req, miss ratio 0.0382, byte miss ratio 0.0382
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   275356, 58463439 req, miss ratio 0.0210, byte miss ratio 0.0210
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   550712, 58463439 req, miss ratio 0.0130, byte miss ratio 0.0130
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size      688, 58463439 req, miss ratio 0.3055, byte miss ratio 0.3055
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     2065, 58463439 req, miss ratio 0.1838, byte miss ratio 0.1838
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     6883, 58463439 req, miss ratio 0.1160, byte miss ratio 0.1160
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    20651, 58463439 req, miss ratio 0.0842, byte miss ratio 0.0842
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    68839, 58463439 req, miss ratio 0.0564, byte miss ratio 0.0564
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   137678, 58463439 req, miss ratio 0.0383, byte miss ratio 0.0383
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   275356, 58463439 req, miss ratio 0.0207, byte miss ratio 0.0207
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   550712, 58463439 req, miss ratio 0.0130, byte miss ratio 0.0130
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      688, 58463439 req, miss ratio 0.5534, byte miss ratio 0.5534
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2065, 58463439 req, miss ratio 0.7996, byte miss ratio 0.7996
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     6883, 58463439 req, miss ratio 0.6168, byte miss ratio 0.6168
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    20651, 58463439 req, miss ratio 0.4330, byte miss ratio 0.4330
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    68839, 58463439 req, miss ratio 0.0810, byte miss ratio 0.0810
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   137678, 58463439 req, miss ratio 0.0422, byte miss ratio 0.0422
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   275356, 58463439 req, miss ratio 0.0209, byte miss ratio 0.0209
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   550712, 58463439 req, miss ratio 0.0128, byte miss ratio 0.0128
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      688, 58463439 req, miss ratio 0.7075, byte miss ratio 0.7075
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2065, 58463439 req, miss ratio 0.3366, byte miss ratio 0.3366
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     6883, 58463439 req, miss ratio 0.2920, byte miss ratio 0.2920
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    20651, 58463439 req, miss ratio 0.1101, byte miss ratio 0.1101
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    68839, 58463439 req, miss ratio 0.0564, byte miss ratio 0.0564
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   137678, 58463439 req, miss ratio 0.0353, byte miss ratio 0.0353
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   275356, 58463439 req, miss ratio 0.0205, byte miss ratio 0.0205
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   550712, 58463439 req, miss ratio 0.0133, byte miss ratio 0.0133
