result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   314024, 190994596 req, miss ratio 0.5122, byte miss ratio 0.5122
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   942073, 190994596 req, miss ratio 0.4237, byte miss ratio 0.4237
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3140243, 190994596 req, miss ratio 0.3390, byte miss ratio 0.3390
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  6280487, 190994596 req, miss ratio 0.2811, byte miss ratio 0.2811
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 12560974, 190994596 req, miss ratio 0.2463, byte miss ratio 0.2463
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 25121949, 190994596 req, miss ratio 0.1802, byte miss ratio 0.1802
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    31402, 190994596 req, miss ratio 0.6393, byte miss ratio 0.6393
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    94207, 190994596 req, miss ratio 0.5944, byte miss ratio 0.5944
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   314024, 190994596 req, miss ratio 0.5081, byte miss ratio 0.5081
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   942073, 190994596 req, miss ratio 0.4177, byte miss ratio 0.4177
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3140243, 190994596 req, miss ratio 0.3099, byte miss ratio 0.3099
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  6280487, 190994596 req, miss ratio 0.2461, byte miss ratio 0.2461
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 12560974, 190994596 req, miss ratio 0.2006, byte miss ratio 0.2006
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 25121949, 190994596 req, miss ratio 0.1709, byte miss ratio 0.1709
