result/io_traces.ns372.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   195047, 18400000 req, miss ratio 0.0721, byte miss ratio 0.0721
result/io_traces.ns372.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   390094, 18400000 req, miss ratio 0.0612, byte miss ratio 0.0612
result/io_traces.ns372.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   780188, 18400000 req, miss ratio 0.0556, byte miss ratio 0.0556
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d cache size      975, 18400000 req, miss ratio 0.6131, byte miss ratio 0.6131
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d cache size     2925, 18400000 req, miss ratio 0.5868, byte miss ratio 0.5868
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d cache size     9752, 18400000 req, miss ratio 0.5101, byte miss ratio 0.5101
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d cache size    29257, 18400000 req, miss ratio 0.2945, byte miss ratio 0.2945
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d cache size    97523, 18400000 req, miss ratio 0.0723, byte miss ratio 0.0723
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d cache size   195047, 18400000 req, miss ratio 0.0676, byte miss ratio 0.0676
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d cache size   390094, 18400000 req, miss ratio 0.0572, byte miss ratio 0.0572
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d cache size   780188, 18400000 req, miss ratio 0.0540, byte miss ratio 0.0540
result/io_traces.ns372.oracleGeneral.zst S3FIFO cache size      975, 18400000 req, miss ratio 0.6115, byte miss ratio 0.6115
result/io_traces.ns372.oracleGeneral.zst S3FIFO cache size     2925, 18400000 req, miss ratio 0.5864, byte miss ratio 0.5864
result/io_traces.ns372.oracleGeneral.zst S3FIFO cache size     9752, 18400000 req, miss ratio 0.5056, byte miss ratio 0.5056
result/io_traces.ns372.oracleGeneral.zst S3FIFO cache size    29257, 18400000 req, miss ratio 0.2495, byte miss ratio 0.2495
result/io_traces.ns372.oracleGeneral.zst S3FIFO cache size    97523, 18400000 req, miss ratio 0.0723, byte miss ratio 0.0723
result/io_traces.ns372.oracleGeneral.zst S3FIFO cache size   195047, 18400000 req, miss ratio 0.0676, byte miss ratio 0.0676
result/io_traces.ns372.oracleGeneral.zst S3FIFO cache size   390094, 18400000 req, miss ratio 0.0572, byte miss ratio 0.0572
result/io_traces.ns372.oracleGeneral.zst S3FIFO cache size   780188, 18400000 req, miss ratio 0.0540, byte miss ratio 0.0540
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      975, 18400000 req, miss ratio 0.6575, byte miss ratio 0.6575
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2925, 18400000 req, miss ratio 0.5965, byte miss ratio 0.5965
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9752, 18400000 req, miss ratio 0.4903, byte miss ratio 0.4903
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29257, 18400000 req, miss ratio 0.1993, byte miss ratio 0.1993
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    97523, 18400000 req, miss ratio 0.0708, byte miss ratio 0.0708
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   195047, 18400000 req, miss ratio 0.0647, byte miss ratio 0.0647
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   390094, 18400000 req, miss ratio 0.0566, byte miss ratio 0.0566
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   780188, 18400000 req, miss ratio 0.0545, byte miss ratio 0.0545
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      975, 18400000 req, miss ratio 0.6172, byte miss ratio 0.6172
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2925, 18400000 req, miss ratio 0.5726, byte miss ratio 0.5726
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9752, 18400000 req, miss ratio 0.4768, byte miss ratio 0.4768
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29257, 18400000 req, miss ratio 0.2232, byte miss ratio 0.2232
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    97523, 18400000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   195047, 18400000 req, miss ratio 0.0668, byte miss ratio 0.0668
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   390094, 18400000 req, miss ratio 0.0599, byte miss ratio 0.0599
result/io_traces.ns372.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   780188, 18400000 req, miss ratio 0.0540, byte miss ratio 0.0540
