result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2872290, 39709499 req, miss ratio 0.2830, byte miss ratio 0.2830
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  5744580, 39709499 req, miss ratio 0.2009, byte miss ratio 0.2009
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7180, 39709499 req, miss ratio 0.8556, byte miss ratio 0.8556
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21542, 39709499 req, miss ratio 0.7485, byte miss ratio 0.7485
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    71807, 39709499 req, miss ratio 0.4972, byte miss ratio 0.4972
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   215421, 39709499 req, miss ratio 0.4315, byte miss ratio 0.4315
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   718072, 39709499 req, miss ratio 0.3245, byte miss ratio 0.3245
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1436145, 39709499 req, miss ratio 0.2611, byte miss ratio 0.2611
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2872290, 39709499 req, miss ratio 0.2022, byte miss ratio 0.2022
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  5744580, 39709499 req, miss ratio 0.1890, byte miss ratio 0.1890
