result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d cache size     4640, 1251610 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d cache size     9281, 1251610 req, miss ratio 0.0942, byte miss ratio 0.0942
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d cache size    18562, 1251610 req, miss ratio 0.0685, byte miss ratio 0.0685
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d cache size    37124, 1251610 req, miss ratio 0.0419, byte miss ratio 0.0419
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO cache size       46, 1251610 req, miss ratio 0.2642, byte miss ratio 0.2642
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO cache size      139, 1251610 req, miss ratio 0.1882, byte miss ratio 0.1882
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO cache size      464, 1251610 req, miss ratio 0.1654, byte miss ratio 0.1654
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO cache size     1392, 1251610 req, miss ratio 0.1433, byte miss ratio 0.1433
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO cache size     4640, 1251610 req, miss ratio 0.1073, byte miss ratio 0.1073
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO cache size     9281, 1251610 req, miss ratio 0.0942, byte miss ratio 0.0942
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO cache size    18562, 1251610 req, miss ratio 0.0685, byte miss ratio 0.0685
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO cache size    37124, 1251610 req, miss ratio 0.0419, byte miss ratio 0.0419
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       46, 1251610 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      139, 1251610 req, miss ratio 0.2691, byte miss ratio 0.2691
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      464, 1251610 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1392, 1251610 req, miss ratio 0.1325, byte miss ratio 0.1325
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4640, 1251610 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9281, 1251610 req, miss ratio 0.0886, byte miss ratio 0.0886
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18562, 1251610 req, miss ratio 0.0598, byte miss ratio 0.0598
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    37124, 1251610 req, miss ratio 0.0410, byte miss ratio 0.0410
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       46, 1251610 req, miss ratio 0.2944, byte miss ratio 0.2944
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      139, 1251610 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      464, 1251610 req, miss ratio 0.1553, byte miss ratio 0.1553
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1392, 1251610 req, miss ratio 0.1252, byte miss ratio 0.1252
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4640, 1251610 req, miss ratio 0.1038, byte miss ratio 0.1038
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9281, 1251610 req, miss ratio 0.0903, byte miss ratio 0.0903
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18562, 1251610 req, miss ratio 0.0608, byte miss ratio 0.0608
result/tencentBlock.ns8324.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    37124, 1251610 req, miss ratio 0.0423, byte miss ratio 0.0423
