result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d cache size    14523, 8172887 req, miss ratio 0.1672, byte miss ratio 0.1672
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d cache size    48412, 8172887 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d cache size    96825, 8172887 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d cache size   193650, 8172887 req, miss ratio 0.0639, byte miss ratio 0.0639
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d cache size   387301, 8172887 req, miss ratio 0.0596, byte miss ratio 0.0596
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO cache size      484, 8172887 req, miss ratio 0.2940, byte miss ratio 0.2940
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO cache size     1452, 8172887 req, miss ratio 0.2469, byte miss ratio 0.2469
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO cache size     4841, 8172887 req, miss ratio 0.1972, byte miss ratio 0.1972
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO cache size    14523, 8172887 req, miss ratio 0.1672, byte miss ratio 0.1672
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO cache size    48412, 8172887 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO cache size    96825, 8172887 req, miss ratio 0.0778, byte miss ratio 0.0778
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO cache size   193650, 8172887 req, miss ratio 0.0639, byte miss ratio 0.0639
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO cache size   387301, 8172887 req, miss ratio 0.0596, byte miss ratio 0.0596
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      484, 8172887 req, miss ratio 0.3897, byte miss ratio 0.3897
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1452, 8172887 req, miss ratio 0.2705, byte miss ratio 0.2705
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4841, 8172887 req, miss ratio 0.1974, byte miss ratio 0.1974
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14523, 8172887 req, miss ratio 0.1662, byte miss ratio 0.1662
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    48412, 8172887 req, miss ratio 0.1104, byte miss ratio 0.1104
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    96825, 8172887 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   193650, 8172887 req, miss ratio 0.0650, byte miss ratio 0.0650
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   387301, 8172887 req, miss ratio 0.0603, byte miss ratio 0.0603
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      484, 8172887 req, miss ratio 0.2785, byte miss ratio 0.2785
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1452, 8172887 req, miss ratio 0.2302, byte miss ratio 0.2302
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4841, 8172887 req, miss ratio 0.1863, byte miss ratio 0.1863
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14523, 8172887 req, miss ratio 0.1640, byte miss ratio 0.1640
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    48412, 8172887 req, miss ratio 0.1110, byte miss ratio 0.1110
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    96825, 8172887 req, miss ratio 0.0758, byte miss ratio 0.0758
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   193650, 8172887 req, miss ratio 0.0671, byte miss ratio 0.0671
result/tencentBlock.ns17681.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   387301, 8172887 req, miss ratio 0.0630, byte miss ratio 0.0630
